MatchID|Team1ID|Team1|score_t1|mean_goals_t1_bin_3|mean_assists_t1_bin_3|mean_shots_t1_bin_3|HAteam01|Team2ID|Team2|score_t2|mean_goals_t2_bin_3|mean_assists_t2_bin_3|mean_shots_t2_bin_3|HAteam02
367138|381|norwich_city|0|5.050312|1.049683|7.902642|home|359|arsenal|2|2.674477|0.684664|6.132894|away
367139|367|tottenham_hotspur|3|5.032869|0.817163|8.409078|home|362|aston_villa|0|2.894825|0.671130|5.891210|away
367140|347|cardiff_city|1|5.840941|1.689485|6.110106|home|363|chelsea|2|3.011418|0.536644|6.715164|away
367141|306|hull_city|0|2.635956|0.913520|9.008114|home|368|everton|2|3.268360|0.619890|5.443051|away
367142|376|southampton|1|5.240180|0.924059|8.978290|home|360|manchester_united|1|3.791028|1.000056|7.408618|away
367143|364|liverpool|2|3.356502|0.629941|7.958250|home|361|newcastle_united|1|3.719281|0.481441|5.909579|away
367144|383|west_bromwich_albion|1|4.297965|0.831173|8.511031|home|336|stoke_city|2|1.661464|0.763435|8.009199|away
367145|366|sunderland|1|6.544078|0.543028|5.131844|home|318|swansea_city|3|3.024928|0.941791|6.008622|away
367146|382|manchester_city|2|3.208135|0.794348|7.545542|home|371|west_ham_united|0|3.845169|1.035388|12.043391|away
367147|361|newcastle_united|3|3.955646|0.466871|6.023630|home|347|cardiff_city|0|5.588017|1.597379|6.952241|away
367148|336|stoke_city|4|3.547071|0.778298|7.468006|home|370|fulham|1|2.174143|0.524708|5.865772|away
367149|362|aston_villa|3|2.777483|0.678710|5.979962|home|306|hull_city|1|3.474353|1.403208|8.604004|away
367150|368|everton|2|3.218995|0.663695|5.338367|home|382|manchester_city|3|3.208135|0.794348|7.545542|away
367151|363|chelsea|0|3.287490|0.661710|8.083288|home|381|norwich_city|0|4.845766|0.941599|7.496081|away
367152|318|swansea_city|0|3.148029|0.993773|6.662786|home|376|southampton|1|4.896494|0.888667|8.816575|away
367153|360|manchester_united|0|3.635731|1.011941|8.273571|home|366|sunderland|1|6.563176|0.556917|5.584969|away
367154|371|west_ham_united|2|3.817998|0.996351|11.943289|home|367|tottenham_hotspur|0|4.484423|0.832539|8.194482|away
367155|359|arsenal|1|2.800948|0.710858|7.187457|home|383|west_bromwich_albion|0|4.418133|0.837056|9.239603|away
367156|318|swansea_city|4|3.186264|1.046714|7.101021|home|362|aston_villa|1|2.741387|0.681384|5.606968|away
367157|366|sunderland|4|6.314361|0.537229|6.655135|home|347|cardiff_city|0|5.810172|1.562013|7.127689|away
367158|364|liverpool|0|3.472049|0.585823|7.496065|home|363|chelsea|2|3.113011|0.557792|7.022028|away
367159|376|southampton|2|5.612047|0.954768|9.050554|home|368|everton|0|3.395183|0.720453|5.449792|away
367160|370|fulham|2|3.031923|0.616525|7.350156|home|306|hull_city|2|3.605372|1.443486|9.126689|away
367161|359|arsenal|3|2.831107|0.716678|7.549891|home|361|newcastle_united|0|3.717697|0.500375|5.884485|away
367162|360|manchester_united|4|2.852564|0.946847|7.176283|home|381|norwich_city|0|5.075130|0.844146|7.416539|away
367163|336|stoke_city|0|3.512883|0.670036|7.236762|home|367|tottenham_hotspur|1|4.665115|0.772048|8.941245|away
367164|383|west_bromwich_albion|1|4.314141|0.922350|8.620345|home|371|west_ham_united|0|3.843208|0.908116|11.373961|away
367165|306|hull_city|0|3.474353|1.403208|8.604004|home|359|arsenal|3|2.999995|0.753584|7.670121|away
367166|367|tottenham_hotspur|3|4.700340|0.812192|9.078754|home|370|fulham|1|2.880970|0.558374|6.855355|away
367167|381|norwich_city|2|4.992624|0.826576|6.703017|home|364|liverpool|3|3.448637|0.596447|7.512197|away
367168|368|everton|2|3.104360|0.689786|5.659075|home|360|manchester_united|0|3.054907|0.995537|7.532308|away
367169|362|aston_villa|0|2.741387|0.681384|5.606968|home|376|southampton|0|5.240180|0.924059|8.978290|away
367170|347|cardiff_city|1|6.148982|1.496281|6.906451|home|336|stoke_city|1|3.512883|0.670036|7.236762|away
367171|363|chelsea|1|3.440104|0.620891|8.609980|home|366|sunderland|2|6.539515|0.472988|5.119344|away
367172|361|newcastle_united|1|4.257744|0.451020|7.010111|home|318|swansea_city|2|3.103694|1.044119|7.595409|away
367173|382|manchester_city|3|3.109012|0.750488|6.963525|home|383|west_bromwich_albion|1|4.107800|0.893330|8.330326|away
367174|376|southampton|0|2.035052|0.911239|8.978290|home|347|cardiff_city|1|3.840649|1.153424|6.943356|away
367175|318|swansea_city|0|3.107903|1.062637|7.800796|home|363|chelsea|1|5.082005|0.650050|7.810661|away
367176|366|sunderland|0|6.513145|0.500861|6.807202|home|368|everton|1|3.104360|0.689786|5.659075|away
367177|360|manchester_united|3|3.825447|1.046253|7.232764|home|306|hull_city|1|3.473632|1.395993|8.557828|away
367178|364|liverpool|3|3.424376|0.634466|8.664132|home|382|manchester_city|2|3.208135|0.794348|7.545542|away
367179|336|stoke_city|1|3.520820|0.670036|7.133587|home|361|newcastle_united|0|4.039378|0.456685|6.825451|away
367180|370|fulham|1|2.846595|0.594659|7.032438|home|381|norwich_city|0|5.024487|0.868242|6.747135|away
367181|383|west_bromwich_albion|3|4.272965|0.903396|8.244528|home|367|tottenham_hotspur|3|4.819733|0.785363|7.677802|away
367182|359|arsenal|3|2.977773|0.759933|7.509804|home|371|west_ham_united|1|3.612163|0.988344|11.152393|away
367183|368|everton|3|3.104360|0.689786|5.659075|home|359|arsenal|0|4.630598|0.747492|7.832306|away
367184|362|aston_villa|1|2.811443|0.773213|5.370823|home|370|fulham|2|2.862161|0.630493|6.509204|away
367185|371|west_ham_united|1|3.647877|0.928471|11.336426|home|364|liverpool|2|3.403348|0.652299|8.383589|away
367186|361|newcastle_united|0|2.784244|0.437563|6.824112|home|360|manchester_united|4|3.016079|0.956301|6.670952|away
367187|382|manchester_city|4|3.171285|0.791254|6.726323|home|376|southampton|1|2.246834|0.933452|11.019523|away
367188|363|chelsea|3|4.938111|0.734325|8.251357|home|336|stoke_city|0|3.570203|0.750283|7.380501|away
367189|367|tottenham_hotspur|5|4.524059|0.753518|7.560820|home|366|sunderland|1|6.451781|0.519043|6.242997|away
367190|306|hull_city|1|3.609076|1.415708|9.185948|home|318|swansea_city|0|3.547583|1.150636|9.593000|away
367191|381|norwich_city|0|4.942790|0.943296|7.845596|home|383|west_bromwich_albion|1|4.540386|0.877806|8.326999|away
367192|360|manchester_united|4|3.582890|1.084857|8.169306|home|362|aston_villa|1|2.880882|0.800992|6.367192|away
367193|383|west_bromwich_albion|3|4.493250|0.827372|7.683075|home|347|cardiff_city|3|5.588017|1.779012|8.339997|away
367194|370|fulham|1|3.122157|0.626322|5.513830|home|368|everton|3|3.286969|0.705151|5.924735|away
367195|336|stoke_city|1|3.445656|0.760450|6.912091|home|306|hull_city|0|3.453520|1.312931|8.351689|away
367196|359|arsenal|1|2.761732|0.690410|7.007718|home|382|manchester_city|1|3.156675|0.784760|6.615122|away
367197|376|southampton|4|5.542378|0.901471|11.447764|home|361|newcastle_united|0|2.674764|0.452548|7.151200|away
367198|318|swansea_city|3|3.625557|1.160050|9.461312|home|381|norwich_city|0|4.972419|0.971074|8.040040|away
367199|364|liverpool|4|3.420649|0.666140|8.705389|home|367|tottenham_hotspur|0|4.544733|0.700185|7.716495|away
367200|366|sunderland|1|6.564833|0.451487|5.865470|home|371|west_ham_united|2|3.656280|0.995697|11.475922|away
367201|363|chelsea|6|4.997985|0.611470|7.762844|home|359|arsenal|0|2.625889|0.661965|6.790324|away
367202|382|manchester_city|5|2.928062|0.719774|5.498187|home|370|fulham|0|2.960759|0.518667|4.884865|away
367203|347|cardiff_city|3|5.829830|1.529534|7.649911|home|364|liverpool|6|3.420649|0.666140|8.705389|away
367204|371|west_ham_united|0|3.666738|0.966939|11.315138|home|360|manchester_united|2|3.091184|1.011003|8.290045|away
367205|367|tottenham_hotspur|3|4.434566|0.678859|7.733813|home|376|southampton|2|5.544320|0.922838|10.608215|away
367206|362|aston_villa|1|2.773739|0.711286|5.930007|home|336|stoke_city|4|3.654061|0.654039|6.843195|away
367207|381|norwich_city|2|4.942790|0.943296|7.845596|home|366|sunderland|0|6.510619|0.551235|5.111958|away
367208|368|everton|3|3.286969|0.705151|5.924735|home|318|swansea_city|2|3.449054|1.113871|9.404765|away
367209|306|hull_city|2|2.531298|0.785153|8.157244|home|383|west_bromwich_albion|0|4.958284|0.827615|8.636786|away
367210|367|tottenham_hotspur|0|4.755888|0.872048|9.715353|home|359|arsenal|1|2.625889|0.661965|6.790324|away
367211|368|everton|2|3.286969|0.705151|5.924735|home|347|cardiff_city|1|5.738144|1.644780|7.527089|away
367212|362|aston_villa|1|2.854622|0.773786|6.316036|home|363|chelsea|0|4.964483|0.712859|8.218223|away
367213|360|manchester_united|0|3.138233|1.013851|8.497705|home|364|liverpool|3|3.420649|0.666140|8.705389|away
367214|306|hull_city|0|2.648582|0.783610|8.624837|home|382|manchester_city|2|2.976533|0.750625|6.731690|away
367215|370|fulham|1|3.057673|0.657671|6.804504|home|361|newcastle_united|0|2.772294|0.425178|7.279549|away
367216|376|southampton|4|5.173241|0.889801|10.497878|home|381|norwich_city|2|4.838160|0.919222|7.873065|away
367217|318|swansea_city|1|3.618662|1.083969|9.123392|home|383|west_bromwich_albion|2|4.660110|0.795420|8.370424|away
367218|336|stoke_city|3|3.401675|0.716469|6.160548|home|371|west_ham_united|1|3.666738|0.966939|11.315138|away
367219|382|manchester_city|4|2.962897|0.765776|6.399114|home|362|aston_villa|0|2.788923|0.639880|5.063085|away
367220|361|newcastle_united|0|3.873923|0.547226|7.415066|home|368|everton|3|3.286969|0.705151|5.924735|away
367221|347|cardiff_city|3|5.803956|1.579884|7.685575|home|370|fulham|1|3.045680|0.578456|5.437908|away
367222|371|west_ham_united|2|3.797937|0.980697|12.322234|home|306|hull_city|1|2.531298|0.785153|8.157244|away
367223|383|west_bromwich_albion|0|4.328357|0.913199|8.705803|home|360|manchester_united|3|3.149803|1.008344|8.377882|away
367224|381|norwich_city|1|5.077049|0.980333|8.328621|home|336|stoke_city|1|3.513875|0.737166|6.801797|away
367225|364|liverpool|2|3.420649|0.666140|8.705389|home|366|sunderland|1|6.487166|0.562346|4.855045|away
367226|359|arsenal|2|2.761732|0.690410|7.007718|home|318|swansea_city|2|3.625557|1.160050|9.461312|away
367227|363|chelsea|4|5.162116|0.698845|7.712259|home|367|tottenham_hotspur|0|4.483388|0.799361|9.076252|away
367228|336|stoke_city|1|3.428227|0.739481|6.593464|home|359|arsenal|0|2.645120|0.705836|7.054747|away
367229|367|tottenham_hotspur|1|4.750145|0.830918|9.456279|home|347|cardiff_city|0|5.516588|1.579012|7.682854|away
367230|370|fulham|1|3.109355|0.647957|9.112299|home|363|chelsea|3|4.837296|0.687547|7.973536|away
367231|376|southampton|0|5.612208|0.992435|11.159253|home|364|liverpool|3|3.621722|0.685047|8.996679|away
367232|360|manchester_united|0|2.874795|0.945737|7.179049|home|382|manchester_city|3|3.156675|0.784760|6.615122|away
367233|306|hull_city|1|2.518952|0.913239|8.433479|home|361|newcastle_united|4|2.783026|0.440329|7.494827|away
367234|362|aston_villa|4|2.773739|0.711286|5.930007|home|381|norwich_city|1|4.776432|1.008111|8.171213|away
367235|366|sunderland|2|6.563176|0.556917|5.584969|home|383|west_bromwich_albion|0|4.410646|0.812457|8.681314|away
367236|368|everton|1|3.275802|0.653922|6.041348|home|371|west_ham_united|0|3.666738|0.966939|11.315138|away
367237|361|newcastle_united|1|4.049327|0.466100|7.346017|home|362|aston_villa|0|2.661310|0.699548|5.808896|away
367238|363|chelsea|1|5.284782|0.798860|8.804708|home|368|everton|0|3.054924|0.712963|5.600162|away
367239|383|west_bromwich_albion|1|4.393935|0.835035|8.646896|home|370|fulham|1|2.900257|0.604302|6.690156|away
367240|347|cardiff_city|0|5.629864|1.668962|6.594995|home|306|hull_city|4|2.518952|0.913239|8.433479|away
367241|371|west_ham_united|3|3.587950|0.935923|10.355067|home|376|southampton|1|7.471182|1.365939|11.205407|away
367242|382|manchester_city|1|3.156675|0.784760|6.615122|home|336|stoke_city|0|3.417645|0.791729|7.589496|away
367243|359|arsenal|4|2.705501|0.746710|7.179415|home|366|sunderland|1|6.650376|0.588561|6.456576|away
367244|364|liverpool|4|3.621722|0.685047|8.996679|home|318|swansea_city|3|3.198564|1.021224|7.685157|away
367245|381|norwich_city|1|4.953592|0.891444|7.734176|home|367|tottenham_hotspur|0|4.925672|0.827297|8.919989|away
367246|370|fulham|2|2.764551|0.567823|5.246699|home|364|liverpool|3|3.602972|0.641297|8.540429|away
367247|382|manchester_city|2|3.049460|0.623742|6.596463|home|366|sunderland|2|6.958816|0.504521|5.310634|away
367248|361|newcastle_united|0|3.898730|0.555604|7.465229|home|367|tottenham_hotspur|4|4.971463|0.872684|9.557969|away
367249|383|west_bromwich_albion|1|4.289698|0.838549|7.952965|home|363|chelsea|1|5.017190|0.802828|7.311586|away
