MatchID|Team1ID|Team1|score_t1|mean_goals_t1_bin_1|mean_assists_t1_bin_1|mean_shots_t1_bin_1|HAteam01|Team2ID|Team2|score_t2|mean_goals_t2_bin_1|mean_assists_t2_bin_1|mean_shots_t2_bin_1|HAteam02
367138|381|norwich_city|0|3.593750|0.542708|6.180208|home|359|arsenal|2|2.717143|0.615873|5.253095|away
367139|367|tottenham_hotspur|3|4.261722|0.714103|7.339011|home|362|aston_villa|0|2.710322|0.600000|6.079072|away
367140|347|cardiff_city|1|3.818590|1.466026|6.200641|home|363|chelsea|2|3.572040|0.475502|5.700607|away
367141|306|hull_city|0|1.632143|0.789550|8.354894|home|368|everton|2|3.786695|0.720868|5.829972|away
367142|376|southampton|1|4.200000|0.783333|10.874359|home|360|manchester_united|1|4.447917|1.089137|7.164583|away
367143|364|liverpool|2|3.745085|0.798001|9.803438|home|361|newcastle_united|1|2.489435|0.390625|5.464137|away
367144|383|west_bromwich_albion|1|3.057003|0.709384|8.545938|home|336|stoke_city|2|1.001961|0.650980|7.690196|away
367145|366|sunderland|1|nan|nan|nan|home|318|swansea_city|3|3.090774|0.703125|5.695313|away
367146|382|manchester_city|2|3.030238|0.768254|7.376508|home|371|west_ham_united|0|5.969608|0.686275|9.503922|away
367147|361|newcastle_united|3|2.625397|0.330000|5.221746|home|347|cardiff_city|0|3.664881|1.456548|6.638690|away
367148|336|stoke_city|4|3.564815|0.673148|7.209259|home|370|fulham|1|2.078571|0.435714|4.829762|away
367149|362|aston_villa|3|2.550891|0.584314|5.819519|home|306|hull_city|1|2.863624|1.298810|7.780820|away
367150|368|everton|2|3.551401|0.600280|5.150560|home|382|manchester_city|3|3.030238|0.768254|7.376508|away
367151|363|chelsea|0|3.800019|0.584198|6.805809|home|381|norwich_city|0|3.777778|0.537963|6.243519|away
367152|318|swansea_city|0|4.046218|0.838235|6.438725|home|376|southampton|1|3.900000|0.727381|10.347619|away
367153|360|manchester_united|0|4.243417|1.086415|8.158263|home|366|sunderland|1|nan|nan|nan|away
367154|371|west_ham_united|2|5.907983|0.624650|9.391176|home|367|tottenham_hotspur|0|3.760159|0.785556|6.960476|away
367155|359|arsenal|1|2.848413|0.629206|6.244127|home|383|west_bromwich_albion|0|3.073810|0.670168|8.573950|away
367156|318|swansea_city|4|4.085434|0.857843|6.830882|home|362|aston_villa|1|2.624421|0.643137|5.804813|away
367157|366|sunderland|4|nan|nan|nan|home|347|cardiff_city|0|3.626282|1.491667|7.405769|away
367158|364|liverpool|0|4.333321|0.739177|9.352457|home|363|chelsea|2|3.631932|0.479874|5.863258|away
367159|376|southampton|2|4.341667|0.848611|10.572222|home|368|everton|0|3.727530|0.641964|5.059970|away
367160|370|fulham|2|2.966667|0.535556|5.787778|home|306|hull_city|2|2.987963|1.330556|8.452778|away
367161|359|arsenal|3|2.865079|0.629206|6.502460|home|361|newcastle_united|0|2.553175|0.346667|4.977302|away
367162|360|manchester_united|4|2.923942|0.920503|6.413492|home|381|norwich_city|0|3.892157|0.432353|6.306863|away
367163|336|stoke_city|0|3.575926|0.628704|7.114815|home|367|tottenham_hotspur|1|4.050159|0.660000|7.648254|away
367164|383|west_bromwich_albion|1|3.041317|0.685854|8.510644|home|371|west_ham_united|0|5.927591|0.614846|8.989216|away
367165|306|hull_city|0|2.863624|1.298810|7.780820|home|359|arsenal|3|3.057823|0.674150|6.693112|away
367166|367|tottenham_hotspur|3|4.055714|0.704444|7.287143|home|370|fulham|1|2.881250|0.514583|5.863542|away
367167|381|norwich_city|2|3.862745|0.471569|6.272549|home|364|liverpool|3|4.321289|0.747199|9.189356|away
367168|368|everton|2|3.454101|0.655820|5.786640|home|360|manchester_united|0|3.235154|0.982493|7.226050|away
367169|362|aston_villa|0|2.624421|0.643137|5.804813|home|376|southampton|0|4.200000|0.783333|10.874359|away
367170|347|cardiff_city|1|4.011806|1.649306|7.261806|home|336|stoke_city|1|3.575926|0.628704|7.114815|away
367171|363|chelsea|1|3.941659|0.565012|7.172246|home|366|sunderland|2|nan|nan|nan|away
367172|361|newcastle_united|1|2.742857|0.304603|5.888413|home|318|swansea_city|2|4.080688|0.949074|7.868056|away
367173|382|manchester_city|3|2.925476|0.711111|6.749841|home|383|west_bromwich_albion|1|2.872354|0.684788|8.074868|away
367174|376|southampton|0|2.883333|0.848611|11.780556|home|347|cardiff_city|1|4.095139|0.990972|7.703472|away
367175|318|swansea_city|0|4.099206|0.949074|8.219907|home|363|chelsea|1|5.299010|0.567320|6.530708|away
367176|366|sunderland|0|nan|nan|nan|home|368|everton|1|3.454101|0.655820|5.786640|away
367177|360|manchester_united|3|4.602222|1.087778|7.484444|home|306|hull_city|1|2.919180|1.280291|7.799339|away
367178|364|liverpool|3|3.789203|0.798001|10.053438|home|382|manchester_city|2|3.030238|0.768254|7.376508|away
367179|336|stoke_city|1|3.575926|0.614815|6.975926|home|361|newcastle_united|0|2.640625|0.314583|6.261458|away
367180|370|fulham|1|2.791667|0.522917|5.582292|home|381|norwich_city|0|3.890196|0.506863|6.213725|away
367181|383|west_bromwich_albion|3|2.971569|0.681373|7.837255|home|367|tottenham_hotspur|3|4.130952|0.656410|6.077473|away
367182|359|arsenal|3|2.998299|0.656293|6.341922|home|371|west_ham_united|1|5.707983|0.622689|8.028431|away
367183|368|everton|3|3.454101|0.655820|5.786640|home|359|arsenal|0|4.046769|0.669898|6.759439|away
367184|362|aston_villa|1|2.512405|0.704167|4.912405|home|370|fulham|2|2.933333|0.574444|5.621111|away
367185|371|west_ham_united|1|5.845238|0.524650|8.592157|home|364|liverpool|2|3.748026|0.815648|9.550497|away
367186|361|newcastle_united|0|1.401042|0.304167|6.475000|home|360|manchester_united|4|3.165923|0.858929|6.530655|away
367187|382|manchester_city|4|3.008588|0.755102|6.558503|home|376|southampton|1|2.892308|0.911538|13.233333|away
