MatchID|Team1ID|Team1|score_t1|mean_goals_t1_bin_5|mean_assists_t1_bin_5|mean_shots_t1_bin_5|HAteam01|Team2ID|Team2|score_t2|mean_goals_t2_bin_5|mean_assists_t2_bin_5|mean_shots_t2_bin_5|HAteam02
367210|367|tottenham_hotspur|0|4.938574|0.892290|9.907100|home|359|arsenal|1|3.104083|0.733258|6.983377|away
367211|368|everton|2|3.095731|0.711987|5.566717|home|347|cardiff_city|1|7.573112|1.371671|6.730839|away
367212|362|aston_villa|1|2.588736|0.695549|5.959094|home|363|chelsea|0|5.017502|0.790065|8.752085|away
367213|360|manchester_united|0|3.097116|0.979130|8.539395|home|364|liverpool|3|3.888358|0.722568|8.596992|away
367214|306|hull_city|0|3.625645|0.870379|8.647405|home|382|manchester_city|2|3.197505|0.784170|7.159267|away
367215|370|fulham|1|2.887754|0.641537|7.134429|home|361|newcastle_united|0|2.794225|0.560731|6.886702|away
367216|376|southampton|4|4.119077|0.963092|9.203530|home|381|norwich_city|2|5.519230|1.022024|8.418309|away
367217|318|swansea_city|1|4.659853|1.081935|9.691913|home|383|west_bromwich_albion|2|3.748218|0.720952|7.620221|away
367218|336|stoke_city|3|3.251758|0.675234|6.191007|home|371|west_ham_united|1|3.637849|0.981162|11.891226|away
367219|382|manchester_city|4|3.184542|0.797133|6.858341|home|362|aston_villa|0|2.496998|0.605438|4.996557|away
367220|361|newcastle_united|0|4.302067|0.735760|7.179670|home|368|everton|3|3.095731|0.711987|5.566717|away
367221|347|cardiff_city|3|7.626038|1.327950|6.725908|home|370|fulham|1|2.853910|0.546289|5.794029|away
367222|371|west_ham_united|2|3.729516|0.967437|12.676275|home|306|hull_city|1|3.535830|0.836120|8.183517|away
367223|383|west_bromwich_albion|0|3.560099|0.780690|8.572275|home|360|manchester_united|3|3.104927|0.988974|8.409920|away
367224|381|norwich_city|1|5.758996|1.082911|9.096328|home|336|stoke_city|1|3.349886|0.711013|6.907945|away
367225|364|liverpool|2|3.888358|0.722568|8.596992|home|366|sunderland|1|4.699893|0.491032|4.868434|away
367226|359|arsenal|2|3.271806|0.766456|7.213641|home|318|swansea_city|2|4.729337|1.136914|9.652440|away
367227|363|chelsea|4|5.187774|0.787452|8.221736|home|367|tottenham_hotspur|0|4.661486|0.823733|9.325214|away
367228|336|stoke_city|1|3.304361|0.733390|7.060723|home|359|arsenal|0|3.121129|0.755275|7.173718|away
367229|367|tottenham_hotspur|1|4.934063|0.852729|9.691389|home|347|cardiff_city|0|7.163662|1.306509|6.962748|away
367230|370|fulham|1|2.968617|0.641439|9.477659|home|363|chelsea|3|4.897429|0.759817|8.532334|away
367231|376|southampton|0|4.476954|1.065381|9.729442|home|364|liverpool|3|4.114361|0.732536|8.809880|away
367232|360|manchester_united|0|2.894315|0.905028|7.386293|home|382|manchester_city|3|3.382247|0.824310|7.023818|away
367233|306|hull_city|1|3.446246|0.922925|8.246711|home|361|newcastle_united|4|2.805774|0.573502|7.165235|away
367234|362|aston_villa|4|2.507854|0.633049|5.573065|home|381|norwich_city|1|5.468304|1.091196|8.970597|away
367235|366|sunderland|2|4.735483|0.499713|5.444823|home|383|west_bromwich_albion|0|3.606731|0.724662|7.953532|away
367236|368|everton|1|3.089355|0.662679|5.722785|home|371|west_ham_united|0|3.637849|0.981162|11.891226|away
367237|361|newcastle_united|1|4.425566|0.640169|6.695791|home|362|aston_villa|0|2.410195|0.625658|5.471784|away
367238|363|chelsea|1|5.348925|0.871746|9.343803|home|368|everton|0|2.871428|0.718456|5.263648|away
367239|383|west_bromwich_albion|1|3.622004|0.790283|8.435351|home|370|fulham|1|2.743036|0.600355|7.135280|away
367240|347|cardiff_city|0|7.230814|1.292030|5.648063|home|306|hull_city|4|3.446246|0.922925|8.246711|away
367241|371|west_ham_united|3|3.514010|0.940915|10.875747|home|376|southampton|1|7.497147|1.456407|9.929763|away
367242|382|manchester_city|1|3.382247|0.824310|7.023818|home|336|stoke_city|0|3.253656|0.765577|7.695643|away
367243|359|arsenal|4|3.197563|0.805743|7.402484|home|366|sunderland|1|4.732946|0.496937|5.509840|away
367244|364|liverpool|4|4.114361|0.732536|8.809880|home|318|swansea_city|3|4.102534|0.912761|6.882392|away
367245|381|norwich_city|1|5.616139|1.012417|8.294040|home|367|tottenham_hotspur|0|5.097155|0.844181|9.120972|away
367246|370|fulham|2|2.598578|0.564379|5.769116|home|364|liverpool|3|4.092040|0.681197|8.392470|away
367247|382|manchester_city|2|3.281543|0.651732|7.101818|home|366|sunderland|2|5.016084|0.460282|5.222909|away
367248|361|newcastle_united|0|4.326172|0.737486|7.249661|home|367|tottenham_hotspur|4|5.147654|0.893607|9.825093|away
367249|383|west_bromwich_albion|1|3.565397|0.745845|7.785508|home|363|chelsea|1|5.085178|0.871155|7.876654|away
