MatchID|Team1|mu_rel_infield_suc_t1|std_rel_infield_suc_t1|med_rel_infield_suc_t1|score01|HAteam01|Team2|mu_rel_infield_suc_t2|std_rel_infield_suc_t2|med_rel_infield_suc_t2|score02|HAteam02
330811104|minnesota_twins|7.833333|10.073342|3.500000|5|Away|chicago_white_sox|nan|nan|nan|2|[]
330811105|los_angeles_angels|5.000000|11.180340|0.000000|5|Away|cleveland_indians|11.200000|21.576839|0.000000|6|Home
330811107|boston_red_sox|nan|nan|nan|3|[]|kansas_city_royals|39.833333|40.519200|32.500000|4|Home
330811110|detroit_tigers|15.666667|33.698005|0.500000|4|Away|new_york_yankees|27.000000|56.824291|2.000000|5|Home
330811112|milwaukee_brewers|1.666667|3.726780|0.000000|0|Away|seattle_mariners|18.333333|26.836956|0.000000|2|Home
330811114|oakland_athletics|1.833333|2.477678|1.000000|6|Away|toronto_blue_jays|nan|nan|nan|4|[]
330811115|miami_marlins|0.000000|0.000000|0.000000|4|Away|atlanta_braves|34.333333|56.770493|10.000000|9|Home
330811117|san_diego_padres|15.333333|21.684608|0.000000|2|Away|cincinnati_reds|39.500000|98.958830|0.000000|3|Home
330811118|texas_rangers|26.100000|51.465425|1.000000|6|Away|houston_astros|0.500000|0.763763|0.000000|1|Home
330811119|tampa_bay_rays|0.500000|1.118034|0.000000|2|Away|los_angeles_dodgers|3.166667|6.202598|0.500000|8|Home
330811120|philadelphia_phillies|11.500000|16.830033|0.000000|0|Away|washington_nationals|46.666667|53.017817|29.000000|6|Home
330811124|chicago_cubs|10.333333|14.406789|0.500000|4|Away|st._louis_cardinals|14.600000|18.243903|6.000000|8|Home
330811126|baltimore_orioles|5.833333|10.237458|0.000000|10|Away|san_francisco_giants|23.500000|16.439282|21.500000|2|Home
330811127|pittsburgh_pirates|16.833333|22.266692|6.000000|2|Away|colorado_rockies|34.900000|84.815624|5.000000|3|Home
330811129|new_york_mets|2.666667|5.120764|0.000000|9|Away|arizona_diamondbacks|0.000000|0.000000|0.000000|5|Home
330812104|detroit_tigers|29.000000|33.366650|20.500000|2|Away|chicago_white_sox|nan|nan|nan|6|[]
330812107|miami_marlins|1.333333|2.981424|0.000000|2|Away|kansas_city_royals|62.666667|19.838235|63.500000|6|Home
330812109|cleveland_indians|11.666667|26.087460|0.000000|0|Away|minnesota_twins|9.000000|7.958224|9.500000|3|Home
330812110|los_angeles_angels|3.200000|8.953212|0.000000|1|Away|new_york_yankees|27.000000|56.824291|2.000000|2|Home
330812114|oakland_athletics|0.000000|0.000000|0.000000|5|Away|toronto_blue_jays|nan|nan|nan|1|[]
330812115|philadelphia_phillies|0.000000|0.000000|0.000000|5|Away|atlanta_braves|34.333333|56.770493|10.000000|1|Home
330812116|cincinnati_reds|76.333333|116.946807|30.500000|2|Away|chicago_cubs|10.333333|14.406789|0.500000|0|Home
330812118|texas_rangers|37.900000|60.391142|0.000000|2|Away|houston_astros|0.000000|0.000000|0.000000|1|Home
