MatchID|Team1|InningsNumteam1|runrate_t1|score_t1|mean_sr_t1_bin_3|median_sr_t1_bin_3|mean_er_t1_bin_3|median_er_t1_bin_3|Team2|InningsNumteam2|runrate_t2|score_t2|mean_sr_t2_bin_3|median_sr_t2_bin_3|mean_er_t2_bin_3|median_er_t2_bin_3|Won_By|Winning_type
598073|Chennai_Super_Kings|2|6.250000|125.000000|120.559707|121.452145|7.766230|8.102537|Mumbai_Indians|1|7.400000|148.000000|109.983284|127.751196|7.986004|7.564841|Mumbai_Indians|23_runs
598072|Mumbai_Indians|2|8.520000|169.000000|109.983284|127.751196|7.986004|7.564841|Rajasthan_Royals|1|8.250000|165.000000|140.818030|147.619048|8.008671|8.008671|Mumbai_Indians|4_wickets_(with_1_ball_remaining)
598071|Rajasthan_Royals|2|6.980000|135.000000|140.818030|147.619048|8.008671|8.008671|Sunrisers_Hyderabad|1|6.600000|132.000000|90.636873|112.500000|7.490546|7.166667|Rajasthan_Royals|4_wickets_(with_4_balls_remaining)
598070|Chennai_Super_Kings|1|9.600000|192.000000|120.559707|121.452145|7.766230|8.102537|Mumbai_Indians|2|7.710000|144.000000|96.235374|113.875598|8.062754|7.853849|Chennai_Super_Kings|48_runs
598069|Sunrisers_Hyderabad|2|7.000000|132.000000|105.743018|117.720588|7.563655|7.208333|Kolkata_Knight_Riders|1|6.500000|130.000000|120.331374|123.032988|6.989942|6.792411|Sunrisers_Hyderabad|5_wickets_(with_7_balls_remaining)
598067|Pune_Warriors|1|8.600000|172.000000|114.437094|115.075809|7.365585|7.290441|Delhi_Daredevils|2|6.700000|134.000000|127.433035|134.767642|7.894289|8.000000|Pune_Warriors|38_runs
598068|Royal_Challengers_Bangalore|1|13.250000|106.000000|103.956957|120.883955|8.094678|8.071429|Chennai_Super_Kings|2|10.250000|82.000000|116.761746|120.953345|7.647922|8.023256|Royal_Challengers_Bangalore|24_runs
598066|Kings_XI_Punjab|1|9.150000|183.000000|63.706063|59.259259|8.605072|7.416667|Mumbai_Indians|2|6.930000|133.000000|109.976285|117.829551|8.177768|7.564841|Kings_XI_Punjab|50_runs
598065|Sunrisers_Hyderabad|1|6.800000|136.000000|90.636873|112.500000|7.490546|7.166667|Rajasthan_Royals|2|5.650000|113.000000|140.818030|147.619048|8.008671|8.008671|Sunrisers_Hyderabad|23_runs
598028|Kings_XI_Punjab|1|8.550000|171.000000|63.706063|59.259259|8.605072|7.416667|Delhi_Daredevils|2|8.200000|164.000000|106.194196|127.831582|7.774883|7.708333|Kings_XI_Punjab|7_runs
598063|Mumbai_Indians|1|8.300000|166.000000|106.394767|102.631579|7.530916|7.202572|Rajasthan_Royals|2|7.600000|152.000000|140.818030|147.619048|8.008671|8.008671|Mumbai_Indians|14_runs
598061|Kolkata_Knight_Riders|2|8.150000|163.000000|100.883632|110.144928|7.220049|7.164286|Pune_Warriors|1|8.500000|170.000000|120.070965|128.630705|7.275739|6.875000|Pune_Warriors|7_runs
598062|Chennai_Super_Kings|1|8.400000|168.000000|120.559707|121.452145|8.201829|8.181818|Delhi_Daredevils|2|6.750000|135.000000|92.748721|111.763551|7.782951|8.000000|Chennai_Super_Kings|33_runs
598045|Royal_Challengers_Bangalore|1|8.700000|174.000000|112.748348|128.571429|7.747059|7.941176|Kings_XI_Punjab|2|9.680000|176.000000|79.385861|101.851852|9.199275|9.199275|Kings_XI_Punjab|7_wickets_(with_11_balls_remaining)
598060|Mumbai_Indians|2|9.430000|184.000000|109.983284|127.751196|7.986004|7.564841|Sunrisers_Hyderabad|1|8.900000|178.000000|90.636873|112.500000|7.490546|7.166667|Mumbai_Indians|7_wickets_(with_3_balls_remaining)
598058|Rajasthan_Royals|2|8.380000|144.000000|140.818030|147.619048|8.008671|8.008671|Chennai_Super_Kings|1|7.050000|141.000000|116.761746|120.953345|7.647922|8.023256|Rajasthan_Royals|5_wickets_(with_17_balls_remaining)
598057|Kolkata_Knight_Riders|2|6.000000|116.000000|100.883632|110.144928|7.220049|7.164286|Royal_Challengers_Bangalore|1|5.750000|115.000000|99.034063|113.196481|8.100490|8.018207|Kolkata_Knight_Riders|5_wickets_(with_4_balls_remaining)
598056|Kings_XI_Punjab|2|6.000000|120.000000|63.706063|59.259259|8.605072|7.416667|Sunrisers_Hyderabad|1|7.500000|150.000000|90.636873|112.500000|7.490546|7.166667|Sunrisers_Hyderabad|30_runs
598055|Pune_Warriors|1|5.600000|112.000000|95.250479|100.000000|6.534904|6.291209|Mumbai_Indians|2|6.150000|116.000000|103.798832|102.631579|7.811750|7.202572|Mumbai_Indians|5_wickets_(with_7_balls_remaining)
598054|Delhi_Daredevils|2|8.950000|179.000000|127.433035|134.767642|7.894289|8.000000|Royal_Challengers_Bangalore|1|9.150000|183.000000|99.034063|113.196481|8.100490|8.018207|Royal_Challengers_Bangalore|4_runs
598053|Pune_Warriors|2|5.430000|106.000000|120.440955|128.630705|7.374562|6.875000|Kolkata_Knight_Riders|1|7.600000|152.000000|115.746220|117.027864|7.184059|6.928571|Kolkata_Knight_Riders|46_runs
598052|Kings_XI_Punjab|1|7.250000|145.000000|73.821993|101.851852|8.107348|7.015420|Rajasthan_Royals|2|7.730000|147.000000|140.818030|147.619048|8.008671|8.008671|Rajasthan_Royals|8_wickets_(with_6_balls_remaining)
598051|Sunrisers_Hyderabad|2|7.300000|146.000000|88.791733|112.500000|6.588655|7.125000|Chennai_Super_Kings|1|11.150000|223.000000|116.761746|120.953345|7.647922|8.023256|Chennai_Super_Kings|77_runs
598050|Mumbai_Indians|1|8.500000|170.000000|109.983284|127.751196|7.986004|7.564841|Kolkata_Knight_Riders|2|5.720000|105.000000|112.209393|113.586396|7.185578|6.936170|Mumbai_Indians|65_runs
