MatchID|Team1|InningsNumteam1|runrate_t1|score_t1|mean_sr_t1_bin_5|median_sr_t1_bin_5|mean_er_t1_bin_5|median_er_t1_bin_5|Team2|InningsNumteam2|runrate_t2|score_t2|mean_sr_t2_bin_5|median_sr_t2_bin_5|mean_er_t2_bin_5|median_er_t2_bin_5|Won_By|Winning_type
598046|Mumbai_Indians|1|6.950000|139.000000|119.075980|125.408065|7.998402|7.668977|Chennai_Super_Kings|2|5.150000|79.000000|116.769264|118.335381|7.207180|7.517730|Mumbai_Indians|60_runs
598044|Sunrisers_Hyderabad|2|5.850000|81.000000|101.124701|112.500000|6.923375|6.847826|Delhi_Daredevils|1|4.170000|80.000000|131.752268|131.585518|7.647287|8.000000|Sunrisers_Hyderabad|6_wickets_(with_37_balls_remaining)
598043|Kolkata_Knight_Riders|2|7.670000|133.000000|106.320651|117.791284|7.343057|7.211111|Rajasthan_Royals|1|6.600000|132.000000|126.347082|122.535211|7.657187|7.138229|Kolkata_Knight_Riders|8_wickets_(with_16_balls_remaining)
598042|Pune_Warriors|2|8.500000|170.000000|104.026194|104.276316|7.160948|6.875000|Royal_Challengers_Bangalore|1|9.350000|187.000000|87.684581|100.000000|7.268933|7.376238|Royal_Challengers_Bangalore|17_runs
598041|Chennai_Super_Kings|1|9.300000|186.000000|123.327715|124.607804|7.278087|7.517730|Kings_XI_Punjab|2|8.550000|171.000000|81.457280|105.882353|8.086023|6.994147|Chennai_Super_Kings|15_runs
598040|Delhi_Daredevils|2|7.680000|137.000000|137.574768|138.236216|8.129609|8.308511|Kolkata_Knight_Riders|1|6.800000|136.000000|127.644180|126.505916|7.682907|7.960526|Delhi_Daredevils|7_wickets_(with_13_balls_remaining)
598039|Sunrisers_Hyderabad|2|7.220000|130.000000|99.228818|104.340278|6.923375|6.847826|Mumbai_Indians|1|6.450000|129.000000|119.075980|125.408065|7.998402|7.668977|Sunrisers_Hyderabad|7_wickets_(with_12_balls_remaining)
598038|Pune_Warriors|2|6.350000|127.000000|115.382756|108.552632|7.699029|8.026251|Chennai_Super_Kings|1|8.200000|164.000000|123.327715|124.607804|7.278087|7.517730|Chennai_Super_Kings|37_runs
598037|Mumbai_Indians|1|8.700000|174.000000|119.075980|125.408065|7.998402|7.668977|Kings_XI_Punjab|2|8.500000|170.000000|81.457280|105.882353|8.086023|6.994147|Mumbai_Indians|4_runs
598036|Rajasthan_Royals|2|8.720000|173.000000|105.289235|117.440445|8.157187|8.333333|Royal_Challengers_Bangalore|1|8.550000|171.000000|93.398866|100.000000|7.692364|7.794118|Rajasthan_Royals|4_wickets_(with_1_ball_remaining)
