MatchID|Team1|InningsNumteam1|runrate_t1|score_t1|mean_sr_t1_bin_1|median_sr_t1_bin_1|mean_er_t1_bin_1|median_er_t1_bin_1|Team2|InningsNumteam2|runrate_t2|score_t2|mean_sr_t2_bin_1|median_sr_t2_bin_1|mean_er_t2_bin_1|median_er_t2_bin_1|Won_By|Winning_type
598073|Chennai_Super_Kings|2|6.250000|125.000000|117.679996|125.821596|7.810302|8.003953|Mumbai_Indians|1|7.400000|148.000000|113.896644|130.337079|8.705136|9.333333|Mumbai_Indians|23_runs
598072|Mumbai_Indians|2|8.520000|169.000000|113.896644|130.337079|8.705136|9.333333|Rajasthan_Royals|1|8.250000|165.000000|128.485816|128.485816|7.740964|7.740964|Mumbai_Indians|4_wickets_(with_1_ball_remaining)
598071|Rajasthan_Royals|2|6.980000|135.000000|128.485816|128.485816|7.740964|7.740964|Sunrisers_Hyderabad|1|6.600000|132.000000|90.941192|109.848485|8.117264|8.350515|Rajasthan_Royals|4_wickets_(with_4_balls_remaining)
598070|Chennai_Super_Kings|1|9.600000|192.000000|117.679996|125.821596|7.810302|8.003953|Mumbai_Indians|2|7.710000|144.000000|113.896644|130.337079|8.705136|9.333333|Chennai_Super_Kings|48_runs
598069|Sunrisers_Hyderabad|2|7.000000|132.000000|121.254922|119.696970|8.365330|8.370660|Kolkata_Knight_Riders|1|6.500000|130.000000|112.086692|113.725622|7.378622|6.933333|Sunrisers_Hyderabad|5_wickets_(with_7_balls_remaining)
598067|Pune_Warriors|1|8.600000|172.000000|116.138482|106.521739|7.792810|7.337500|Delhi_Daredevils|2|6.700000|134.000000|134.782170|120.895522|8.050394|8.000000|Pune_Warriors|38_runs
598068|Royal_Challengers_Bangalore|1|13.250000|106.000000|106.066769|123.025926|7.632151|7.727273|Chennai_Super_Kings|2|10.250000|82.000000|113.656965|121.577465|7.807146|8.181818|Royal_Challengers_Bangalore|24_runs
598066|Kings_XI_Punjab|1|9.150000|183.000000|61.616162|0.000000|9.430556|9.625000|Mumbai_Indians|2|6.930000|133.000000|106.974684|102.631579|8.223085|7.987220|Kings_XI_Punjab|50_runs
598065|Sunrisers_Hyderabad|1|6.800000|136.000000|90.941192|109.848485|8.117264|8.350515|Rajasthan_Royals|2|5.650000|113.000000|128.485816|128.485816|7.740964|7.740964|Sunrisers_Hyderabad|23_runs
598028|Kings_XI_Punjab|1|8.550000|171.000000|61.616162|0.000000|9.430556|9.625000|Delhi_Daredevils|2|8.200000|164.000000|134.782170|120.895522|8.050394|8.000000|Kings_XI_Punjab|7_runs
598063|Mumbai_Indians|1|8.300000|166.000000|106.974684|102.631579|8.223085|7.987220|Rajasthan_Royals|2|7.600000|152.000000|128.485816|128.485816|7.740964|7.740964|Mumbai_Indians|14_runs
598061|Kolkata_Knight_Riders|2|8.150000|163.000000|88.112811|104.946996|7.499278|7.400000|Pune_Warriors|1|8.500000|170.000000|122.015408|113.043478|7.661372|6.875000|Pune_Warriors|7_runs
598062|Chennai_Super_Kings|1|8.400000|168.000000|117.679996|125.821596|8.254716|8.181818|Delhi_Daredevils|2|6.750000|135.000000|119.148708|120.447761|7.775130|8.000000|Chennai_Super_Kings|33_runs
598045|Royal_Challengers_Bangalore|1|8.700000|174.000000|130.311247|132.676056|7.485643|7.422460|Kings_XI_Punjab|2|9.680000|176.000000|61.616162|0.000000|9.333333|9.333333|Kings_XI_Punjab|7_wickets_(with_11_balls_remaining)
