MatchID|Team1|mean_AVG_t1_bin_1|mean_OBP_t1_bin_1|mean_OPS_t1_bin_1|mean_bat_WAR_t1_bin_1|mean_ERA_t1_bin_1|mean_WHIP_t1_bin_1|mean_pitch_WAR_t1_bin_1|HAteam01|Team2|mean_AVG_t2_bin_1|mean_OBP_t2_bin_1|mean_OPS_t2_bin_1|mean_bat_WAR_t2_bin_1|mean_ERA_t2_bin_1|mean_WHIP_t2_bin_1|mean_pitch_WAR_t2_bin_1|HAteam02
320417112|cleveland_indians|0.174687|0.220500|0.496562|0.993750|3.638500|1.267778|0.731111|Away|seattle_mariners|0.182571|0.229357|0.523571|0.550000|3.986000|1.375556|0.435556|Home
320417114|tampa_bay_rays|0.200778|0.262844|0.579378|1.677778|3.985833|1.364000|0.318333|Away|toronto_blue_jays|0.199089|0.252556|0.589733|1.068889|3.478417|1.347500|1.742500|Home
320417115|new_york_mets|0.167750|0.215250|0.477938|0.718750|3.902640|1.362590|1.556707|Away|atlanta_braves|0.156222|0.191333|0.434889|0.797778|3.785556|1.302222|0.633333|Home
320417120|houston_astros|0.242933|0.287300|0.637100|0.483333|4.200000|1.361429|1.500000|Away|washington_nationals|0.143800|0.185400|0.398733|0.460000|4.179857|1.420357|1.103571|Home
320417124|cincinnati_reds|0.168509|0.220123|0.483877|0.771930|3.855625|1.301786|0.707143|Away|st._louis_cardinals|0.146033|0.190750|0.413533|0.873333|3.763200|1.318067|0.637333|Home
320417126|philadelphia_phillies|0.217422|0.268444|0.577533|1.131111|4.114000|1.315667|0.740000|Away|san_francisco_giants|0.150647|0.316176|0.544118|0.794118|3.731667|1.252500|0.913542|Home
320417127|san_diego_padres|0.137063|0.174905|0.379651|0.720635|2.610095|1.160038|0.721333|Away|colorado_rockies|0.185643|0.231500|0.538643|1.200000|3.429080|1.241190|1.257900|Home
320417128|chicago_cubs|0.184533|0.227467|0.503667|0.433333|3.078542|1.194792|0.204167|Away|miami_marlins|0.185938|0.239313|0.521750|0.856250|3.455089|1.338304|1.994643|Home
320417129|pittsburgh_pirates|0.121045|0.159818|0.348818|0.440909|4.370652|1.423767|0.335820|Away|arizona_diamondbacks|0.157611|0.203648|0.448667|0.820370|2.993750|1.352750|0.780000|Home
320418102|texas_rangers|0.249769|0.308615|0.696615|2.215385|3.234495|1.186212|1.695960|Away|boston_red_sox|0.195792|0.253292|0.571500|1.502083|7.813090|1.800487|0.710498|Home
