MatchID|Team1|mean_PTS_t1|mean_STL_t1|mean_AST_t1|mean_DBPM_t1|mean_BPM_t1|mean_VORP_t1|HAteam01|Team2|mean_PTS_t2|mean_STL_t2|mean_AST_t2|mean_DBPM_t2|mean_BPM_t2|mean_VORP_t2|HAteam02
400277721|washington_wizards|7.118030|0.680714|1.212089|-0.995356|-3.160471|0.135521|away|cleveland_cavaliers|7.588582|0.605238|1.575303|-0.444609|-2.157551|0.217857|home
400277722|boston_celtics|11.565890|0.950493|2.607013|0.533969|0.201218|1.701719|away|miami_heat|12.806957|0.944552|2.603086|0.332500|2.366667|2.946250|home
400277723|dallas_mavericks|11.279620|0.776658|2.076268|-0.195373|-1.006679|1.071020|away|los_angeles_lakers|11.856269|0.794504|2.788699|-0.556429|0.230173|1.725455|home
400277724|indiana_pacers|8.044697|0.575505|1.458838|-0.506439|-1.918939|0.314015|away|toronto_raptors|8.609416|0.619264|1.995563|-0.874502|-1.614502|0.461082|home
400277725|denver_nuggets|10.068377|0.815184|2.269773|-0.192619|-0.867857|0.981561|away|philadelphia_76ers|8.814913|0.736511|1.720810|-0.329643|-1.831944|0.372817|home
400277726|houston_rockets|6.268333|0.688952|1.419524|0.730952|-0.347619|0.546429|away|detroit_pistons|10.020106|0.717725|2.002698|-0.581944|-0.968750|0.807986|home
400277727|sacramento_kings|9.915635|0.781766|2.142262|0.215926|-0.756852|0.586667|away|chicago_bulls|10.353580|0.723006|1.990922|-0.032964|-0.205478|1.094520|home
400277729|dallas_mavericks|10.544877|0.762099|2.057392|-0.392637|-1.436310|0.797800|away|utah_jazz|9.007526|0.668036|1.940632|-0.553988|-1.396952|0.548679|home
400277730|golden_state_warriors|11.637619|0.779464|2.517798|0.238155|0.281086|1.287976|away|phoenix_suns|8.676178|0.586390|1.500091|-0.358222|-1.945778|0.355889|home
400277731|memphis_grizzlies|8.881894|0.701818|1.720152|-0.339524|-1.530810|0.538476|away|los_angeles_clippers|10.891397|0.887073|2.836909|0.303884|0.039838|1.493006|home
400277732|los_angeles_lakers|11.856269|0.794504|2.788699|-0.556429|0.230173|1.725455|away|portland_trail_blazers|8.301458|0.613845|1.159470|-0.205288|-2.247689|0.679334|home
400277734|oklahoma_city_thunder|9.223359|0.684163|1.841616|0.585485|-0.524885|1.102875|away|san_antonio_spurs|9.548655|0.681370|2.048258|-0.202571|-0.050571|1.299143|home
400277735|indiana_pacers|8.629167|0.613056|1.594722|-0.517083|-1.820833|0.355417|away|charlotte_bobcats|8.463351|0.548470|1.793821|-0.759970|-3.244643|0.316071|home
400277736|denver_nuggets|10.068377|0.815184|2.269773|-0.192619|-0.867857|0.981561|away|orlando_magic|6.992904|0.578378|1.738314|-0.119966|-0.929592|0.763741|home
400277737|milwaukee_bucks|9.315304|0.746964|1.865169|0.546935|-1.349761|0.535960|away|boston_celtics|11.565890|0.950493|2.607013|0.533969|0.201218|1.701719|home
400277738|houston_rockets|6.788333|0.693952|1.489524|0.702083|-0.241667|0.540625|away|atlanta_hawks|9.591724|0.767973|2.105152|-0.304305|-1.012031|0.937532|home
400277739|chicago_bulls|10.353580|0.723006|1.990922|-0.032964|-0.205478|1.094520|away|cleveland_cavaliers|7.588582|0.605238|1.575303|-0.444609|-2.157551|0.217857|home
400277740|miami_heat|12.742342|0.939937|2.527702|0.577273|2.108333|2.730682|away|new_york_knicks|10.949960|0.954472|2.616009|0.694221|0.433972|1.508820|home
400277742|portland_trail_blazers|6.956429|0.587251|1.075108|-0.302836|-2.815637|0.415890|away|oklahoma_city_thunder|9.223359|0.684163|1.841616|0.585485|-0.524885|1.102875|home
400277743|sacramento_kings|9.915635|0.781766|2.142262|0.215926|-0.756852|0.586667|away|minnesota_timberwolves|7.581680|0.606303|1.814663|-0.465278|-1.777103|0.834603|home
400277744|detroit_pistons|10.020106|0.717725|2.002698|-0.581944|-0.968750|0.807986|away|phoenix_suns|8.676178|0.586390|1.500091|-0.358222|-1.945778|0.355889|home
400277745|los_angeles_clippers|10.891397|0.887073|2.836909|0.303884|0.039838|1.493006|away|los_angeles_lakers|10.955227|0.747109|2.117345|-0.343701|-0.531645|1.444091|home
400277746|memphis_grizzlies|8.675069|0.693333|1.626806|-0.287446|-1.655281|0.477403|away|golden_state_warriors|11.637619|0.779464|2.517798|0.238155|0.281086|1.287976|home
400277747|boston_celtics|11.565890|0.950493|2.607013|0.533969|0.201218|1.701719|away|washington_wizards|6.966528|0.648988|1.144415|-0.915820|-3.294424|0.081969|home
400277748|sacramento_kings|9.915635|0.781766|2.142262|0.215926|-0.756852|0.586667|away|indiana_pacers|8.629167|0.613056|1.594722|-0.517083|-1.820833|0.355417|home
400277749|toronto_raptors|8.020022|0.613203|2.016775|-0.600260|-1.788745|0.463810|away|brooklyn_nets|11.184755|0.845105|2.619756|-0.107955|-0.630008|0.972924|home
400277750|denver_nuggets|9.288074|0.775790|2.137955|-0.311138|-1.336376|0.914894|away|miami_heat|12.680804|0.924552|2.596932|0.577273|2.108333|2.730682|home
400277752|portland_trail_blazers|6.823776|0.616565|1.139116|-0.459402|-2.798718|0.432051|away|houston_rockets|6.788333|0.693952|1.489524|0.702083|-0.241667|0.540625|home
400277753|cleveland_cavaliers|7.588582|0.605238|1.575303|-0.444609|-2.157551|0.217857|away|milwaukee_bucks|9.315304|0.746964|1.865169|0.546935|-1.349761|0.535960|home
400277754|charlotte_bobcats|8.463351|0.548470|1.793821|-0.759970|-3.244643|0.316071|away|dallas_mavericks|11.639056|0.791188|2.104131|0.279905|-0.572869|1.159631|home
400277755|utah_jazz|9.007526|0.668036|1.940632|-0.553988|-1.396952|0.548679|away|san_antonio_spurs|10.630322|0.785537|2.274091|-0.037691|0.495440|1.549726|home
400277756|golden_state_warriors|11.071958|0.767262|2.455489|-0.118571|0.397004|1.364524|away|los_angeles_clippers|10.100447|0.829817|2.642166|0.303884|0.039838|1.493006|home
400277757|philadelphia_76ers|8.814913|0.736511|1.720810|-0.329643|-1.831944|0.372817|away|new_york_knicks|10.949960|0.954472|2.616009|0.694221|0.433972|1.508820|home
400277758|minnesota_timberwolves|7.581680|0.606303|1.814663|-0.465278|-1.777103|0.834603|away|toronto_raptors|8.020022|0.613203|2.016775|-0.600260|-1.788745|0.463810|home
400277759|phoenix_suns|8.676178|0.586390|1.500091|-0.358222|-1.945778|0.355889|away|orlando_magic|6.463056|0.555463|1.587870|-0.194127|-1.315079|0.571587|home
