MatchID|Team1|mean_PTS_t1_bin_5|mean_STL_t1_bin_5|mean_AST_t1_bin_5|mean_DBPM_t1_bin_5|mean_BPM_t1_bin_5|mean_VORP_t1_bin_5|HAteam01|Team2|mean_PTS_t2_bin_5|mean_STL_t2_bin_5|mean_AST_t2_bin_5|mean_DBPM_t2_bin_5|mean_BPM_t2_bin_5|mean_VORP_t2_bin_5|HAteam02
400277721|washington_wizards|7.268788|0.700000|1.251212|-0.829894|-2.664656|0.210106|away|cleveland_cavaliers|7.842424|0.618485|1.604242|-0.397143|-2.168571|0.271429|home
400277722|boston_celtics|11.250000|0.893030|2.445152|0.445628|0.001169|1.427100|away|miami_heat|12.302949|0.896923|2.558590|0.582857|2.659619|3.065143|home
400277723|dallas_mavericks|9.762810|0.708524|1.956286|-0.429825|-1.807579|0.741976|away|los_angeles_lakers|12.101528|0.757639|3.025417|-0.552814|0.180036|1.740750|home
400277724|indiana_pacers|8.316818|0.582121|1.500000|-0.536364|-1.789697|0.359091|away|toronto_raptors|9.285000|0.619697|2.185000|-0.881320|-1.599805|0.519719|home
400277725|denver_nuggets|10.179091|0.802424|2.256364|-0.196720|-0.836349|0.999259|away|philadelphia_76ers|8.735887|0.718095|1.660087|-0.238421|-1.691802|0.399825|home
400277726|houston_rockets|6.520833|0.719667|1.474167|0.753571|-0.164286|0.621429|away|detroit_pistons|10.289630|0.716296|2.092778|-0.615833|-0.689792|0.800208|home
400277727|sacramento_kings|10.129444|0.792361|2.186389|0.231693|-0.696005|0.623915|away|chicago_bulls|9.989351|0.693593|1.970866|-0.088341|-0.354595|1.061476|home
400277729|dallas_mavericks|9.280899|0.693915|2.000317|-0.602028|-2.055088|0.626640|away|utah_jazz|9.365000|0.656111|1.925556|-0.558310|-1.379167|0.596071|home
400277730|golden_state_warriors|11.908762|0.788929|2.515619|0.202634|0.290640|1.308810|away|phoenix_suns|9.211857|0.631381|1.647167|-0.353460|-2.041016|0.303032|home
400277731|memphis_grizzlies|9.144697|0.729091|1.757121|-0.264143|-1.418619|0.590286|away|los_angeles_clippers|11.227229|0.889394|2.871667|0.393680|0.439134|1.599307|home
400277732|los_angeles_lakers|12.101528|0.757639|3.025417|-0.552814|0.180036|1.740750|away|portland_trail_blazers|8.343036|0.618065|1.172738|-0.072897|-2.171984|0.692897|home
400277734|oklahoma_city_thunder|9.664545|0.707576|1.904848|0.645397|-0.394709|1.166931|away|san_antonio_spurs|9.609365|0.668849|2.150556|-0.232159|-0.027984|1.241476|home
400277735|indiana_pacers|8.928500|0.620333|1.640000|-0.550000|-1.678667|0.405000|away|charlotte_bobcats|8.370606|0.544848|1.795758|-0.733750|-3.150089|0.315179|home
400277736|denver_nuggets|10.179091|0.802424|2.256364|-0.196720|-0.836349|0.999259|away|orlando_magic|7.213333|0.578167|1.928000|-0.021905|-0.787211|0.843401|home
400277737|milwaukee_bucks|9.907222|0.758796|1.971389|0.490476|-1.487338|0.519307|away|boston_celtics|11.250000|0.893030|2.445152|0.445628|0.001169|1.427100|home
400277738|houston_rockets|7.040833|0.724667|1.544167|0.721875|-0.081250|0.606250|away|atlanta_hawks|9.868203|0.780779|2.276429|-0.230362|-0.821182|1.037451|home
400277739|chicago_bulls|9.989351|0.693593|1.970866|-0.088341|-0.354595|1.061476|away|cleveland_cavaliers|7.842424|0.618485|1.604242|-0.397143|-2.168571|0.271429|home
400277740|miami_heat|12.238333|0.892308|2.483205|0.804870|2.374654|2.838766|away|new_york_knicks|9.853636|0.951645|2.595541|0.815649|0.616623|1.535974|home
400277742|portland_trail_blazers|6.754898|0.577789|1.051701|-0.148380|-2.727315|0.431713|away|oklahoma_city_thunder|9.664545|0.707576|1.904848|0.645397|-0.394709|1.166931|home
400277743|sacramento_kings|10.129444|0.792361|2.186389|0.231693|-0.696005|0.623915|away|minnesota_timberwolves|7.772778|0.597083|1.883472|-0.540000|-1.962937|0.704048|home
400277744|detroit_pistons|10.289630|0.716296|2.092778|-0.615833|-0.689792|0.800208|away|phoenix_suns|9.211857|0.631381|1.647167|-0.353460|-2.041016|0.303032|home
400277745|los_angeles_clippers|11.227229|0.889394|2.871667|0.393680|0.439134|1.599307|away|los_angeles_lakers|11.094444|0.720556|2.156250|-0.325541|-0.543600|1.488478|home
400277746|memphis_grizzlies|8.915972|0.718333|1.660694|-0.218918|-1.553290|0.524502|away|golden_state_warriors|11.908762|0.788929|2.515619|0.202634|0.290640|1.308810|home
400277747|boston_celtics|11.250000|0.893030|2.445152|0.445628|0.001169|1.427100|away|washington_wizards|7.104722|0.666667|1.180278|-0.766905|-2.848190|0.149095|home
400277748|sacramento_kings|10.129444|0.792361|2.186389|0.231693|-0.696005|0.623915|away|indiana_pacers|8.928500|0.620333|1.640000|-0.550000|-1.678667|0.405000|home
400277749|toronto_raptors|8.546364|0.607576|2.188788|-0.600260|-1.808139|0.517446|away|brooklyn_nets|12.198667|0.887524|2.865262|-0.059788|-0.123307|1.229762|home
400277750|denver_nuggets|9.398788|0.763030|2.124545|-0.315238|-1.304868|0.932593|away|miami_heat|12.176795|0.876923|2.552436|0.804870|2.374654|2.838766|home
400277752|portland_trail_blazers|6.778571|0.631667|1.160272|-0.336296|-2.683148|0.432963|away|houston_rockets|7.040833|0.724667|1.544167|0.721875|-0.081250|0.606250|home
400277753|cleveland_cavaliers|7.842424|0.618485|1.604242|-0.397143|-2.168571|0.271429|away|milwaukee_bucks|9.907222|0.758796|1.971389|0.490476|-1.487338|0.519307|home
400277754|charlotte_bobcats|8.370606|0.544848|1.795758|-0.733750|-3.150089|0.315179|away|dallas_mavericks|10.707643|0.740524|2.042952|0.282063|-0.836635|0.853587|home
400277755|utah_jazz|9.365000|0.656111|1.925556|-0.558310|-1.379167|0.596071|away|san_antonio_spurs|10.806032|0.762183|2.422222|-0.091053|0.572742|1.530433|home
400277756|golden_state_warriors|11.298624|0.774921|2.467354|-0.189821|0.408631|1.399524|away|los_angeles_clippers|10.408294|0.831944|2.674028|0.393680|0.439134|1.599307|home
400277757|philadelphia_76ers|8.735887|0.718095|1.660087|-0.238421|-1.691802|0.399825|away|new_york_knicks|9.853636|0.951645|2.595541|0.815649|0.616623|1.535974|home
400277758|minnesota_timberwolves|7.772778|0.597083|1.883472|-0.540000|-1.962937|0.704048|away|toronto_raptors|8.546364|0.607576|2.188788|-0.600260|-1.808139|0.517446|home
400277759|phoenix_suns|9.211857|0.631381|1.647167|-0.353460|-2.041016|0.303032|away|orlando_magic|6.544444|0.551667|1.664444|-0.142222|-1.275556|0.591111|home
400277760|atlanta_hawks|9.868203|0.780779|2.276429|-0.230362|-0.821182|1.037451|away|oklahoma_city_thunder|9.664545|0.707576|1.904848|0.645397|-0.394709|1.166931|home
400277761|detroit_pistons|10.289630|0.716296|2.092778|-0.615833|-0.689792|0.800208|away|los_angeles_lakers|11.094444|0.720556|2.156250|-0.325541|-0.543600|1.488478|home
400277762|new_york_knicks|9.853636|0.951645|2.595541|0.815649|0.616623|1.535974|away|philadelphia_76ers|8.735887|0.718095|1.660087|-0.238421|-1.691802|0.399825|home
400277763|minnesota_timberwolves|7.772778|0.597083|1.883472|-0.540000|-1.962937|0.704048|away|brooklyn_nets|11.142667|0.758667|2.719833|-0.420423|-0.852196|0.929444|home
