MatchID|Team1|mu_rel_suc_t1|std_rel_suc_t1|med_rel_suc_t1_bin|score01|HAteam01|Team2|mu_rel_suc_t2|std_rel_suc_t2|med_rel_suc_t2|score02|HAteam02
400277777|memphis_grizzlies|33.371795|40.079443|22.500000|108|away|milwaukee_bucks|13.397436|18.755061|3.000000|90|home
400277779|denver_nuggets|16.500000|20.961183|3.000000|93|away|houston_rockets|6.115385|17.032383|3.000000|87|home
400277780|orlando_magic|3.628205|8.176121|2.000000|75|away|minnesota_timberwolves|6.615385|10.747964|4.000000|90|home
400277781|toronto_raptors|13.294872|23.420410|4.000000|104|away|dallas_mavericks|5.653846|18.134700|2.000000|109|home
400277782|los_angeles_lakers|17.333333|39.790047|0.000000|86|away|utah_jazz|17.230769|16.722412|5.000000|95|home
400277783|detroit_pistons|30.717949|42.768278|4.000000|103|away|sacramento_kings|16.705128|11.942285|20.000000|105|home
400277784|san_antonio_spurs|70.076923|85.561909|31.500000|84|away|los_angeles_clippers|17.290909|23.814184|5.000000|106|home
400277785|cleveland_cavaliers|7.589744|8.365736|2.000000|96|away|golden_state_warriors|10.166667|11.517452|5.000000|106|home
400277786|oklahoma_city_thunder|26.807692|46.127209|4.000000|97|away|chicago_bulls|29.848485|45.938115|5.000000|91|home
400277787|los_angeles_clippers|17.290909|23.814184|5.000000|103|away|portland_trail_blazers|9.564103|19.478186|3.000000|90|home
400277788|milwaukee_bucks|12.423077|17.934010|3.000000|101|away|washington_wizards|6.576923|8.425418|3.000000|91|home
400277789|brooklyn_nets|5.756410|13.562000|3.000000|107|away|orlando_magic|3.628205|8.176121|2.000000|68|home
400277790|philadelphia_76ers|12.051282|19.274600|5.000000|106|away|boston_celtics|14.512821|48.420366|2.000000|100|home
400277791|dallas_mavericks|5.653846|18.134700|2.000000|94|away|new_york_knicks|12.282051|26.762439|3.000000|104|home
400277792|miami_heat|42.705128|48.429465|32.000000|95|away|atlanta_hawks|13.717949|43.389972|1.000000|89|home
400277793|houston_rockets|6.115385|17.032383|3.000000|85|away|memphis_grizzlies|33.371795|40.079443|22.500000|93|home
400277795|detroit_pistons|25.196970|31.846326|4.000000|94|away|oklahoma_city_thunder|32.730769|52.473845|4.000000|105|home
400277796|indiana_pacers|15.217949|21.433647|4.000000|94|away|minnesota_timberwolves|6.615385|10.747964|4.000000|96|home
400277797|cleveland_cavaliers|7.500000|8.321658|2.000000|105|away|phoenix_suns|9.615385|17.302164|4.000000|107|home
400277798|san_antonio_spurs|68.615385|86.406201|31.000000|97|away|sacramento_kings|17.782051|13.583217|22.000000|86|home
400277799|utah_jazz|17.230769|16.722412|5.000000|84|away|denver_nuggets|19.602564|20.861165|8.500000|104|home
400277800|golden_state_warriors|10.076923|11.368839|5.000000|77|away|los_angeles_lakers|13.474359|37.921892|0.000000|101|home
400277801|philadelphia_76ers|12.051282|19.274600|5.000000|93|away|toronto_raptors|15.166667|23.548323|5.000000|83|home
400277802|washington_wizards|6.576923|8.425418|3.000000|85|away|indiana_pacers|14.384615|21.477616|4.000000|89|home
400277803|dallas_mavericks|5.653846|18.134700|2.000000|97|away|charlotte_bobcats|4.782051|15.216933|1.000000|101|home
400277804|minnesota_timberwolves|6.615385|10.747964|4.000000|80|away|chicago_bulls|29.848485|45.938115|5.000000|87|home
400277805|detroit_pistons|30.730769|42.759216|4.000000|82|away|houston_rockets|6.115385|17.032383|3.000000|96|home
400277806|boston_celtics|14.512821|48.420366|2.000000|96|away|milwaukee_bucks|12.423077|17.934010|3.000000|92|home
400277807|phoenix_suns|9.615385|17.302164|4.000000|81|away|utah_jazz|17.230769|16.722412|5.000000|94|home
400277808|san_antonio_spurs|51.346154|61.864166|29.000000|112|away|portland_trail_blazers|9.564103|19.478186|3.000000|109|home
400277809|denver_nuggets|19.602564|20.861165|8.500000|107|away|golden_state_warriors|10.076923|11.368839|5.000000|101|home
400277810|orlando_magic|3.628205|8.176121|2.000000|74|away|brooklyn_nets|5.756410|13.562000|3.000000|82|home
400277811|atlanta_hawks|13.717949|43.389972|1.000000|76|away|los_angeles_clippers|17.290909|23.814184|5.000000|89|home
400277812|miami_heat|57.717949|65.373855|52.500000|86|away|memphis_grizzlies|33.371795|40.079443|22.500000|104|home
400277813|cleveland_cavaliers|7.500000|8.321658|2.000000|91|away|oklahoma_city_thunder|32.730769|52.473845|4.000000|106|home
400277814|sacramento_kings|17.782051|13.583217|22.000000|90|away|los_angeles_lakers|13.474359|37.921892|0.000000|103|home
400277815|utah_jazz|17.230769|16.722412|5.000000|140|away|toronto_raptors|16.681818|25.274349|5.000000|133|home
400277816|milwaukee_bucks|12.423077|17.934010|3.000000|105|away|philadelphia_76ers|12.051282|19.274600|5.000000|96|home
400277817|oklahoma_city_thunder|26.807692|46.127209|4.000000|92|away|detroit_pistons|30.730769|42.759216|4.000000|90|home
400277818|boston_celtics|14.512821|48.420366|2.000000|101|away|chicago_bulls|29.848485|45.938115|5.000000|95|home
400277819|miami_heat|60.384615|63.765442|41.500000|113|away|houston_rockets|6.115385|17.032383|3.000000|110|home
400277820|minnesota_timberwolves|6.615385|10.747964|4.000000|90|away|dallas_mavericks|5.653846|18.134700|2.000000|82|home
400277821|denver_nuggets|19.602564|20.861165|8.500000|100|away|phoenix_suns|9.615385|17.302164|4.000000|110|home
400277822|atlanta_hawks|13.717949|43.389972|1.000000|95|away|portland_trail_blazers|9.564103|19.478186|3.000000|87|home
400277823|washington_wizards|6.576923|8.425418|3.000000|76|away|charlotte_bobcats|4.303030|15.966793|1.000000|92|home
400277824|new_york_knicks|12.282051|26.762439|3.000000|99|away|orlando_magic|3.628205|8.176121|2.000000|89|home
400277825|toronto_raptors|16.681818|25.274349|5.000000|74|away|indiana_pacers|15.217949|21.433647|4.000000|72|home
400277826|cleveland_cavaliers|7.500000|8.321658|2.000000|101|away|brooklyn_nets|5.756410|13.562000|3.000000|114|home
400277827|portland_trail_blazers|9.564103|19.478186|3.000000|103|away|sacramento_kings|17.782051|13.583217|22.000000|86|home
400277828|san_antonio_spurs|70.076923|85.561909|31.500000|84|away|los_angeles_lakers|13.939394|39.651848|0.000000|82|home
400277829|detroit_pistons|22.307692|37.162259|4.000000|94|away|philadelphia_76ers|12.051282|19.274600|5.000000|76|home
400277830|utah_jazz|17.230769|16.722412|5.000000|93|away|boston_celtics|16.848485|52.299615|2.000000|98|home
400277831|indiana_pacers|15.217949|21.433647|4.000000|85|away|milwaukee_bucks|12.423077|17.934010|3.000000|99|home
400277833|memphis_grizzlies|31.651515|40.062259|4.500000|107|away|oklahoma_city_thunder|26.807692|46.127209|4.000000|97|home
400277834|charlotte_bobcats|4.303030|15.966793|1.000000|89|away|minnesota_timberwolves|6.151515|7.667804|4.000000|87|home
400277835|washington_wizards|6.576923|8.425418|3.000000|101|away|dallas_mavericks|5.653846|18.134700|2.000000|107|home
400277836|chicago_bulls|29.848485|45.938115|5.000000|112|away|phoenix_suns|10.282051|18.058237|4.000000|106|home
400277837|miami_heat|60.384615|63.765442|41.500000|100|away|los_angeles_clippers|17.290909|23.814184|5.000000|107|home
