MatchID|Team1ID|Team1|score_t1|mean_goals_t1_bin_1|mean_assists_t1_bin_1|mean_shots_t1_bin_1|HAteam01|Team2ID|Team2|score_t2|mean_goals_t2_bin_1|mean_assists_t2_bin_1|mean_shots_t2_bin_1|HAteam02
345527|361|newcastle_united|0|2.447917|0.666667|8.985417|home|359|arsenal|1|3.065385|0.778205|6.510256|away
345528|350|wigan_athletic|2|4.343333|0.381111|8.858889|home|362|aston_villa|2|2.919118|0.550490|7.308824|away
345529|363|chelsea|2|4.698718|1.134066|14.284432|home|368|everton|1|3.059854|0.566865|4.553770|away
345530|318|swansea_city|0|2.846667|0.866667|7.368889|home|370|fulham|3|2.350140|0.564846|5.807703|away
345531|383|west_bromwich_albion|5|5.550000|0.753361|7.110364|home|360|manchester_united|5|3.073889|0.765556|6.103810|away
345532|382|manchester_city|2|2.832143|0.942593|7.868439|home|381|norwich_city|3|4.358333|1.098148|10.561111|away
345533|364|liverpool|1|3.772222|0.633333|6.691667|home|334|queens_park_rangers|0|4.448980|1.105442|7.778912|away
345534|367|tottenham_hotspur|1|4.459524|1.376190|16.250000|home|366|sunderland|0|3.855093|0.881481|7.071296|away
345535|362|aston_villa|1|2.851562|0.500521|5.487500|home|363|chelsea|2|4.589286|1.136395|14.401020|away
345536|370|fulham|1|2.389356|0.604062|6.337115|home|364|liverpool|3|4.024242|0.668182|6.504545|away
345537|334|queens_park_rangers|1|4.180159|1.153968|9.499206|home|361|newcastle_united|2|2.135417|0.703125|9.094792|away
345538|360|manchester_united|2|2.969271|0.748958|6.341071|home|318|swansea_city|1|3.000000|0.933333|7.488889|away
345539|336|stoke_city|1|3.800000|0.962037|8.238889|home|367|tottenham_hotspur|2|4.178889|1.284444|15.316667|away
345540|381|norwich_city|4|4.288889|0.889815|9.057407|home|383|west_bromwich_albion|0|5.482407|0.878175|8.789418|away
345541|368|everton|2|3.138558|0.571495|5.563029|home|371|west_ham_united|0|5.844118|1.650980|15.229412|away
345542|359|arsenal|4|2.846429|0.770238|6.069048|home|350|wigan_athletic|1|4.284375|0.336458|9.157292|away
