MatchID|Team1ID|Team1|score_t1|mu_rel_suc_t1|std_rel_suc_t1|med_rel_suc_t1|HAteam01|Team2ID|Team2|score_t2|mu_rel_suc_t2|std_rel_suc_t2|med_rel_suc_t2|HAteam02
345669|363|chelsea|0|6.52941176471|12.1203436304|0.0|home|334|queens_park_rangers|1|2.25490196078|5.15958326807|0.0|away
345670|382|manchester_city|3|9.69934640523|11.0749584855|6.0|home|336|stoke_city|0|8.27450980392|11.5477045758|3.0|away
345671|364|liverpool|3|7.58823529412|14.1788433997|1.0|home|366|sunderland|0|3.60784313725|4.40919315032|1.0|away
345672|368|everton|1|8.30065359477|12.835349965|1.0|home|363|chelsea|2|7.32026143791|14.9677883307|0.0|away
345673|334|queens_park_rangers|0|2.50326797386|4.90980635776|0.0|home|364|liverpool|3|8.16339869281|13.7567369195|3.0|away
345674|381|norwich_city|3|2.45098039216|4.14908632587|0.0|home|382|manchester_city|4|10.5947712418|11.0219258062|8.0|away
345675|359|arsenal|7|7.11111111111|8.4795452119|4.0|home|361|newcastle_united|3|5.21568627451|7.19199007654|3.0|away
345676|370|fulham|1|3.61437908497|7.45103772481|0.0|home|318|swansea_city|2|3.20261437908|4.76830422595|0.0|away
345677|366|sunderland|1|3.6339869281|4.0531624609|3.0|home|367|tottenham_hotspur|2|5.16993464052|10.2617959223|0.0|away
345678|360|manchester_united|2|10.7254901961|17.1872559925|3.0|home|383|west_bromwich_albion|0|5.22222222222|6.39569117844|2.0|away
345679|362|aston_villa|0|1.97385620915|4.47790175014|0.0|home|350|wigan_athletic|3|6.59477124183|8.93362445275|3.0|away
345680|381|norwich_city|0|3.22875816993|4.55252100242|0.0|home|363|chelsea|1|7.2614379085|15.482974517|0.0|away
345681|336|stoke_city|3|8.27450980392|11.5477045758|3.0|home|364|liverpool|1|8.92810457516|13.9378192306|4.0|away
345682|366|sunderland|1|3.60784313725|4.40919315032|1.0|home|382|manchester_city|0|9.43790849673|11.3614587951|2.0|away
345683|360|manchester_united|4|13.3529411765|20.1203797403|1.0|home|361|newcastle_united|3|4.90849673203|5.94567946295|3.0|away
345684|362|aston_villa|0|2.2614379085|4.85309852081|0.0|home|367|tottenham_hotspur|4|4.88235294118|9.26299911657|0.0|away
345685|334|queens_park_rangers|1|2.16993464052|3.8548684941|0.0|home|383|west_bromwich_albion|2|6.40522875817|7.38434832|3.0|away
345686|359|arsenal|5|6.02614379085|8.24379165287|3.0|home|371|west_ham_united|1|1.96732026144|6.20396067953|0.0|away
345687|368|everton|2|10.7843137255|15.1588284751|4.0|home|350|wigan_athletic|1|6.59477124183|8.93362445275|3.0|away
345688|350|wigan_athletic|0|6.96732026144|8.92262915959|3.0|home|359|arsenal|1|7.02614379085|8.05694415904|5.0|away
