MatchID|Team1ID|Team1|score_t1|mean_goals_t1_bin_5|mean_assists_t1_bin_5|mean_shots_t1_bin_5|HAteam01|Team2ID|Team2|score_t2|mean_goals_t2_bin_5|mean_assists_t2_bin_5|mean_shots_t2_bin_5|HAteam02
345527|361|newcastle_united|0|4.298043|0.859264|8.208193|home|359|arsenal|1|3.808130|0.893085|6.383796|away
345528|350|wigan_athletic|2|2.506472|0.367284|6.290446|home|362|aston_villa|2|3.328425|0.591064|6.621855|away
345529|363|chelsea|2|4.638478|1.052486|13.753087|home|368|everton|1|2.830061|0.595216|4.270144|away
345530|318|swansea_city|0|4.622827|0.922083|6.924592|home|370|fulham|3|3.159616|0.581225|7.397001|away
345531|383|west_bromwich_albion|5|3.956953|0.700370|7.160242|home|360|manchester_united|5|2.943113|0.765231|6.623421|away
345532|382|manchester_city|2|3.935084|1.144293|9.849437|home|381|norwich_city|3|6.248931|1.530523|11.081500|away
345533|364|liverpool|1|4.254927|0.721971|5.609265|home|334|queens_park_rangers|0|5.096001|0.948785|9.022874|away
345534|367|tottenham_hotspur|1|5.132141|1.076297|12.882775|home|366|sunderland|0|8.394606|1.207274|7.914261|away
345535|362|aston_villa|1|3.443548|0.562056|5.552209|home|363|chelsea|2|4.448952|1.022270|13.828653|away
345536|370|fulham|1|3.198832|0.624363|8.047981|home|364|liverpool|3|4.223043|0.727044|5.550569|away
345537|334|queens_park_rangers|1|4.702617|0.948708|9.319126|home|361|newcastle_united|2|5.738107|1.019841|8.331911|away
345538|360|manchester_united|2|2.843543|0.745529|6.815707|home|318|swansea_city|1|4.732591|1.048009|7.062976|away
345539|336|stoke_city|1|3.421768|0.927501|10.342668|home|367|tottenham_hotspur|2|4.806665|1.004544|12.173923|away
345540|381|norwich_city|4|6.402194|1.418618|11.195741|home|383|west_bromwich_albion|0|3.733435|0.732602|7.235274|away
345541|368|everton|2|2.918761|0.649193|5.268566|home|371|west_ham_united|0|5.325861|1.179084|11.633872|away
345542|359|arsenal|4|3.536120|0.876912|5.951620|home|350|wigan_athletic|1|2.467377|0.379547|6.599178|away
345543|334|queens_park_rangers|0|4.779284|0.973628|9.015476|home|359|arsenal|1|4.510203|0.903000|5.970388|away
345544|381|norwich_city|1|7.633092|1.535981|10.856253|home|362|aston_villa|2|3.361366|0.633212|5.697721|away
345545|360|manchester_united|0|3.002018|0.814399|7.751400|home|363|chelsea|1|4.154736|0.968404|12.935315|away
345546|364|liverpool|0|4.201957|0.842936|7.327551|home|368|everton|0|2.923811|0.635725|5.181024|away
345547|318|swansea_city|0|4.556160|0.924734|6.835577|home|382|manchester_city|0|3.907022|1.126714|9.931009|away
345548|371|west_ham_united|0|5.325861|1.179084|11.633872|home|361|newcastle_united|0|5.791987|0.948589|7.934671|away
345549|366|sunderland|1|6.747710|0.889148|7.554189|home|336|stoke_city|1|3.429014|0.928467|10.514649|away
345550|383|west_bromwich_albion|2|4.014877|0.677227|7.321614|home|350|wigan_athletic|3|2.447025|0.443810|6.398216|away
345551|368|everton|1|2.897885|0.637577|5.045839|home|370|fulham|0|3.173172|0.532262|7.227110|away
345552|361|newcastle_united|0|5.542472|0.962816|8.834664|home|364|liverpool|6|3.939457|0.830436|7.090051|away
345553|359|arsenal|1|4.511770|0.906133|6.031165|home|360|manchester_united|1|3.035978|0.913222|8.388786|away
345554|336|stoke_city|1|3.444884|0.937991|10.585481|home|381|norwich_city|0|7.713247|1.585540|10.784286|away
345555|362|aston_villa|6|3.361366|0.633212|5.697721|home|366|sunderland|1|6.439259|0.954670|8.554709|away
345556|363|chelsea|2|4.045689|0.929503|11.445718|home|318|swansea_city|0|4.865117|0.979798|7.093064|away
345557|350|wigan_athletic|2|2.427494|0.471154|6.792747|home|367|tottenham_hotspur|2|4.590475|0.873916|10.222061|away
345558|382|manchester_city|2|3.909182|1.127002|9.464707|home|371|west_ham_united|1|5.325861|1.179084|11.633872|away
345559|370|fulham|0|3.179959|0.547157|7.637932|home|359|arsenal|1|4.858829|0.924553|6.469460|away
345560|360|manchester_united|3|3.101122|0.905290|8.660901|home|362|aston_villa|0|3.384382|0.592735|5.399308|away
345561|364|liverpool|2|4.148901|0.846293|8.323970|home|363|chelsea|2|4.071740|0.924787|12.394991|away
345562|366|sunderland|1|7.267883|1.063273|8.439508|home|368|everton|0|2.915310|0.623703|5.272188|away
345563|367|tottenham_hotspur|3|5.097203|0.960614|12.533396|home|382|manchester_city|1|3.945268|1.026927|9.412066|away
345564|383|west_bromwich_albion|1|3.830184|0.750431|7.151157|home|361|newcastle_united|1|5.881932|1.009103|8.984053|away
345565|334|queens_park_rangers|0|4.269992|0.920151|11.454944|home|336|stoke_city|2|3.378782|0.845299|10.368309|away
345566|371|west_ham_united|2|5.325861|1.179084|11.633872|home|350|wigan_athletic|0|2.333744|0.450321|6.136497|away
345567|362|aston_villa|1|3.338086|0.549085|5.293488|home|370|fulham|1|3.217214|0.628039|8.044305|away
345568|336|stoke_city|0|3.383503|0.842225|10.457462|home|360|manchester_united|2|3.037102|0.778785|7.920261|away
345569|359|arsenal|3|3.005932|0.868909|5.541488|home|381|norwich_city|1|7.735304|1.440255|10.819702|away
345570|368|everton|2|2.973694|0.656974|6.128977|home|334|queens_park_rangers|0|4.297042|0.957345|11.458889|away
345571|361|newcastle_united|0|5.289740|1.098445|9.895061|home|366|sunderland|3|6.805580|1.007203|8.350949|away
345572|350|wigan_athletic|2|2.460566|0.413602|6.831550|home|318|swansea_city|3|4.545554|0.905795|6.581789|away
345573|363|chelsea|2|4.448952|1.022270|13.828653|home|367|tottenham_hotspur|2|5.099999|1.026297|12.143489|away
345574|382|manchester_city|1|4.083833|1.075516|9.563057|home|383|west_bromwich_albion|0|3.774681|0.644218|6.596104|away
345575|383|west_bromwich_albion|1|4.062893|0.757536|7.580476|home|359|arsenal|2|2.923363|0.790581|5.075847|away
345576|336|stoke_city|1|3.421768|0.927501|10.342668|home|362|aston_villa|3|3.377239|0.597497|5.415975|away
345577|367|tottenham_hotspur|2|5.178709|0.859570|11.169857|home|368|everton|2|2.880360|0.567580|5.271098|away
345578|361|newcastle_united|1|5.196602|1.044381|8.638708|home|370|fulham|0|3.042449|0.594791|6.942003|away
