MatchID|Team1ID|Team1|score_t1|mean_goals_t1_bin_3|mean_assists_t1_bin_3|mean_shots_t1_bin_3|HAteam01|Team2ID|Team2|score_t2|mean_goals_t2_bin_3|mean_assists_t2_bin_3|mean_shots_t2_bin_3|HAteam02
345527|361|newcastle_united|0|4.749485|0.992049|8.117733|home|359|arsenal|1|3.700230|0.799584|6.179841|away
345528|350|wigan_athletic|2|2.952102|0.373478|6.343776|home|362|aston_villa|2|3.003326|0.569048|7.537675|away
345529|363|chelsea|2|3.959962|0.943388|13.074503|home|368|everton|1|2.916540|0.561974|4.525780|away
345530|318|swansea_city|0|3.266074|1.059998|7.051430|home|370|fulham|3|2.799677|0.527999|7.391997|away
345531|383|west_bromwich_albion|5|4.010684|0.766281|7.955263|home|360|manchester_united|5|2.985262|0.759047|6.327323|away
345532|382|manchester_city|2|3.977066|1.010377|9.796438|home|381|norwich_city|3|6.541611|1.721170|11.365109|away
345533|364|liverpool|1|4.231855|0.704121|5.911179|home|334|queens_park_rangers|0|5.095017|1.000427|7.991880|away
345534|367|tottenham_hotspur|1|4.898214|1.341180|15.175223|home|366|sunderland|0|6.966365|1.209209|8.018499|away
345535|362|aston_villa|1|3.002228|0.538268|5.800605|home|363|chelsea|2|3.815501|0.924472|13.223305|away
345536|370|fulham|1|2.832357|0.567215|7.999840|home|364|liverpool|3|4.204404|0.712945|5.845493|away
345537|334|queens_park_rangers|1|4.783471|1.043600|9.780357|home|361|newcastle_united|2|6.236227|1.169132|8.255990|away
345538|360|manchester_united|2|2.886919|0.737342|6.582600|home|318|swansea_city|1|3.186420|1.202856|7.192989|away
345539|336|stoke_city|1|3.563623|0.877890|10.011551|home|367|tottenham_hotspur|2|4.588333|1.251768|14.313542|away
345540|381|norwich_city|4|6.620813|1.582067|10.960195|home|383|west_bromwich_albion|0|3.812619|0.815056|8.109399|away
345541|368|everton|2|2.989268|0.606923|5.504063|home|371|west_ham_united|0|6.112308|1.284108|12.833824|away
345542|359|arsenal|4|3.435928|0.790090|5.762234|home|350|wigan_athletic|1|2.918637|0.383121|6.693818|away
345543|334|queens_park_rangers|0|4.907124|1.130962|9.607919|home|359|arsenal|1|4.993442|0.908519|5.859482|away
345544|381|norwich_city|1|7.238377|1.721535|10.792494|home|362|aston_villa|2|2.941919|0.612068|5.965386|away
345545|360|manchester_united|0|3.051631|0.798436|7.471424|home|363|chelsea|1|3.565301|0.879507|12.370918|away
345546|364|liverpool|0|4.110746|0.793386|7.204414|home|368|everton|0|2.994318|0.593455|5.416521|away
345547|318|swansea_city|0|3.292740|1.084998|7.059763|home|382|manchester_city|0|3.965107|0.981795|9.735956|away
345548|371|west_ham_united|0|6.112308|1.284108|12.833824|home|361|newcastle_united|0|6.274906|1.080991|7.733606|away
345549|366|sunderland|1|5.690383|0.878510|8.004040|home|336|stoke_city|1|3.567591|0.878684|10.020281|away
345550|383|west_bromwich_albion|2|4.111237|0.733098|8.123187|home|350|wigan_athletic|3|2.905840|0.436395|6.549175|away
345551|368|everton|1|2.966540|0.586974|5.261891|home|370|fulham|0|2.807465|0.477165|7.286461|away
345552|361|newcastle_united|0|5.994667|1.084680|8.747569|home|364|liverpool|6|3.848246|0.780886|6.966914|away
345553|359|arsenal|1|4.997153|0.905736|5.876179|home|360|manchester_united|1|3.104921|0.914500|8.317861|away
345554|336|stoke_city|1|3.575994|0.887461|10.087648|home|381|norwich_city|0|7.362359|1.748232|10.806521|away
345555|362|aston_villa|6|2.941919|0.612068|5.965386|home|366|sunderland|1|5.428484|0.942353|8.803788|away
345556|363|chelsea|2|3.454467|0.838527|10.790379|home|318|swansea_city|0|3.519008|1.144641|7.314032|away
345557|350|wigan_athletic|2|2.885006|0.457229|6.872091|home|367|tottenham_hotspur|2|4.273214|0.912609|11.514509|away
345558|382|manchester_city|2|3.944692|0.968079|9.110756|home|371|west_ham_united|1|6.112308|1.284108|12.833824|away
345559|370|fulham|0|2.804791|0.480173|7.621354|home|359|arsenal|1|5.381549|0.924126|6.302552|away
345560|360|manchester_united|3|3.161906|0.904521|8.682882|home|362|aston_villa|0|2.971549|0.572253|5.631590|away
345561|364|liverpool|2|4.063055|0.799657|8.208076|home|363|chelsea|2|3.475044|0.843399|11.726982|away
345562|366|sunderland|1|6.085600|1.053998|8.498035|home|368|everton|0|2.993843|0.603379|5.471744|away
345563|367|tottenham_hotspur|3|4.861126|1.210686|14.897751|home|382|manchester_city|1|4.077268|0.868837|9.575529|away
345564|383|west_bromwich_albion|1|3.886681|0.809348|7.721444|home|361|newcastle_united|1|6.362389|1.138584|8.891514|away
345565|334|queens_park_rangers|0|4.432412|1.094241|12.460381|home|336|stoke_city|2|3.491074|0.746191|9.786060|away
345566|371|west_ham_united|2|6.112308|1.284108|12.833824|home|350|wigan_athletic|0|2.791256|0.436395|6.215841|away
