PlayerID_Name|Season|Team|PTS|STL|AST
1014__mehmet_okur|'09-'10|UTAH|13.500000|0.500000|1.600000
1014__mehmet_okur|'10-'11|UTAH|4.900000|0.300000|1.500000
1014__mehmet_okur|'11-'12|NJ|7.600000|0.500000|1.800000
1015__tony_parker|'01-'02|SA|9.200000|1.200000|4.300000
1015__tony_parker|'02-'03|SA|15.500000|0.900000|5.300000
1015__tony_parker|'03-'04|SA|14.700000|0.800000|5.500000
1015__tony_parker|'04-'05|SA|16.600000|1.200000|6.100000
1015__tony_parker|'05-'06|SA|18.900000|1.000000|5.800000
1015__tony_parker|'06-'07|SA|18.600000|1.100000|5.500000
1015__tony_parker|'07-'08|SA|18.800000|0.800000|6.000000
1015__tony_parker|'08-'09|SA|22.000000|0.900000|6.900000
1015__tony_parker|'09-'10|SA|16.000000|0.500000|5.700000
1015__tony_parker|'10-'11|SA|17.500000|1.200000|6.600000
1015__tony_parker|'11-'12|SA|18.300000|1.000000|7.700000
1015__tony_parker|'12-'13|SA|20.300000|0.800000|7.600000
1015__tony_parker|'13-'14|SA|16.700000|0.500000|5.700000
1016__vladimir_radmanovic|'01-'02|SEA|6.700000|0.900000|1.300000
1016__vladimir_radmanovic|'02-'03|SEA|10.100000|0.900000|1.300000
1016__vladimir_radmanovic|'03-'04|SEA|12.000000|1.000000|1.800000
1016__vladimir_radmanovic|'04-'05|SEA|11.800000|0.900000|1.400000
1016__vladimir_radmanovic|'05-'06|LAC|10.700000|1.000000|2.100000
1016__vladimir_radmanovic|'05-'06|SEA|9.300000|0.700000|1.500000
1016__vladimir_radmanovic|'06-'07|LAL|6.600000|0.500000|1.200000
1016__vladimir_radmanovic|'07-'08|LAL|8.400000|0.700000|1.900000
1016__vladimir_radmanovic|'08-'09|LAL|5.900000|0.600000|0.800000
1016__vladimir_radmanovic|'08-'09|CHA|8.300000|0.600000|1.300000
1016__vladimir_radmanovic|'09-'10|GS|6.600000|0.800000|1.200000
1016__vladimir_radmanovic|'09-'10|CHA|4.900000|0.400000|0.900000
1016__vladimir_radmanovic|'10-'11|GS|5.100000|0.600000|1.100000
1016__vladimir_radmanovic|'11-'12|ATL|4.500000|0.400000|1.100000
1016__vladimir_radmanovic|'12-'13|CHI|1.300000|0.300000|0.300000
1017__zach_randolph|'01-'02|POR|2.800000|0.200000|0.300000
1017__zach_randolph|'02-'03|POR|8.400000|0.500000|0.500000
1017__zach_randolph|'03-'04|POR|20.100000|0.800000|2.000000
1017__zach_randolph|'04-'05|POR|18.900000|0.700000|1.900000
1017__zach_randolph|'05-'06|POR|18.000000|0.800000|1.900000
1017__zach_randolph|'06-'07|POR|23.600000|0.800000|2.200000
1017__zach_randolph|'07-'08|NY|17.600000|0.900000|2.000000
1017__zach_randolph|'08-'09|LAC|20.900000|0.800000|2.300000
1017__zach_randolph|'08-'09|NY|20.500000|1.200000|1.400000
1017__zach_randolph|'09-'10|MEM|20.800000|1.000000|1.800000
1017__zach_randolph|'10-'11|MEM|20.100000|0.800000|2.200000
1017__zach_randolph|'11-'12|MEM|11.600000|0.800000|1.700000
1017__zach_randolph|'12-'13|MEM|15.400000|0.800000|1.400000
1017__zach_randolph|'13-'14|MEM|17.400000|0.700000|2.500000
1018__jason_richardson|'01-'02|GS|14.400000|1.300000|3.000000
1018__jason_richardson|'02-'03|GS|15.600000|1.100000|3.000000
1018__jason_richardson|'03-'04|GS|18.700000|1.100000|2.900000
1018__jason_richardson|'04-'05|GS|21.700000|1.500000|3.900000
1018__jason_richardson|'05-'06|GS|23.200000|1.300000|3.100000
1018__jason_richardson|'06-'07|GS|16.000000|1.100000|3.400000
1018__jason_richardson|'07-'08|CHA|21.800000|1.400000|3.100000
1018__jason_richardson|'08-'09|PHX|16.400000|1.100000|1.900000
1018__jason_richardson|'08-'09|CHA|18.700000|1.000000|2.600000
