MatchID|Team1|InningsNumteam1|runrate_t1|score_t1|mean_sr_t1_bin_5|median_sr_t1_bin_5|mean_er_t1_bin_5|median_er_t1_bin_5|Team2|InningsNumteam2|runrate_t2|score_t2|mean_sr_t2_bin_5|median_sr_t2_bin_5|mean_er_t2_bin_5|median_er_t2_bin_5|Won_By|Winning_type
548381|Kolkata_Knight_Riders|2|9.760000|192.000000|122.796003|122.327273|7.596899|7.596313|Chennai_Super_Kings|1|9.500000|190.000000|115.349496|119.895180|7.297167|7.916667|Kolkata_Knight_Riders|5_wickets_(with_2_balls_remaining)
548380|Delhi_Daredevils|2|8.070000|136.000000|113.882834|129.215871|14.416667|14.416667|Chennai_Super_Kings|1|11.100000|222.000000|115.349496|119.895180|7.297167|7.916667|Chennai_Super_Kings|86_runs
548379|Chennai_Super_Kings|1|9.350000|187.000000|115.349496|119.895180|7.297167|7.916667|Mumbai_Indians|2|7.450000|149.000000|110.661172|117.865854|7.979479|7.809524|Chennai_Super_Kings|38_runs
548378|Delhi_Daredevils|2|7.200000|144.000000|109.922623|125.471698|11.411348|7.765957|Kolkata_Knight_Riders|1|8.100000|162.000000|126.578038|124.200000|7.420545|7.066667|Kolkata_Knight_Riders|18_runs
548377|Rajasthan_Royals|1|8.100000|162.000000|130.319876|145.238095|7.514617|7.569061|Mumbai_Indians|2|9.050000|163.000000|110.661172|117.865854|7.979479|7.809524|Mumbai_Indians|10_wickets_(with_12_balls_remaining)
548376|Deccan_Chargers|1|6.600000|132.000000|103.832059|116.292433|6.653846|6.528846|Royal_Challengers_Bangalore|2|6.150000|123.000000|102.412839|122.792608|7.548542|7.922450|Deccan_Chargers|9_runs
548375|Pune_Warriors|2|5.100000|102.000000|119.578841|118.251629|8.019228|8.138456|Kolkata_Knight_Riders|1|6.800000|136.000000|120.187581|122.327273|7.420545|7.066667|Kolkata_Knight_Riders|34_runs
548374|Kings_XI_Punjab|1|7.050000|141.000000|128.609762|135.344524|6.915169|6.527307|Delhi_Daredevils|2|7.900000|145.000000|95.111833|102.391021|7.689125|7.765957|Delhi_Daredevils|6_wickets_(with_10_balls_remaining)
548373|Deccan_Chargers|2|6.850000|128.000000|100.581498|112.500000|6.653846|6.528846|Rajasthan_Royals|1|6.300000|126.000000|129.285476|134.675785|6.876936|6.974790|Deccan_Chargers|5_wickets_(with_8_balls_remaining)
548372|Delhi_Daredevils|2|9.700000|194.000000|108.223355|122.070415|8.299645|8.299645|Royal_Challengers_Bangalore|1|10.750000|215.000000|102.412839|122.792608|7.548542|7.922450|Royal_Challengers_Bangalore|21_runs
548371|Kings_XI_Punjab|2|7.450000|123.000000|128.609762|135.344524|6.915169|6.527307|Chennai_Super_Kings|1|6.000000|120.000000|115.253193|123.574144|7.297167|7.916667|Kings_XI_Punjab|6_wickets_(with_21_balls_remaining)
548370|Mumbai_Indians|2|5.630000|108.000000|101.062692|120.731707|8.092404|8.372093|Kolkata_Knight_Riders|1|7.000000|140.000000|120.187581|122.327273|7.420545|7.066667|Kolkata_Knight_Riders|32_runs
548369|Delhi_Daredevils|2|7.360000|140.000000|109.922623|125.471698|11.411348|7.765957|Kings_XI_Punjab|1|6.800000|136.000000|99.606825|115.645102|6.442447|6.444444|Delhi_Daredevils|5_wickets_(with_6_balls_remaining)
548368|Kolkata_Knight_Riders|1|7.900000|158.000000|122.364632|124.200000|7.866667|7.866667|Chennai_Super_Kings|2|8.000000|160.000000|111.579485|116.832944|7.152484|7.401190|Chennai_Super_Kings|5_wickets_(with_0_balls_remaining)
548367|Royal_Challengers_Bangalore|1|8.550000|171.000000|102.412839|122.792608|7.548542|7.922450|Mumbai_Indians|2|8.790000|173.000000|101.062692|120.731707|8.092404|8.372093|Mumbai_Indians|5_wickets_(with_2_balls_remaining)
548366|Kings_XI_Punjab|2|9.700000|194.000000|118.760051|115.645102|6.915169|6.527307|Deccan_Chargers|1|9.500000|190.000000|116.258960|116.292433|7.041209|6.528846|Kings_XI_Punjab|4_wickets_(with_0_balls_remaining)
548365|Rajasthan_Royals|1|8.500000|170.000000|129.267947|134.675785|7.657702|7.271925|Pune_Warriors|2|6.250000|125.000000|114.773569|117.755682|7.524123|7.346072|Rajasthan_Royals|45_runs
548364|Chennai_Super_Kings|2|7.500000|115.000000|115.253193|123.574144|7.297167|7.916667|Delhi_Daredevils|1|5.700000|114.000000|109.255604|125.471698|10.291465|7.348888|Chennai_Super_Kings|9_wickets_(with_28_balls_remaining)
548363|Kolkata_Knight_Riders|2|7.750000|155.000000|122.796003|122.327273|7.596899|7.596313|Mumbai_Indians|1|9.100000|182.000000|108.470099|122.388060|8.016337|8.372093|Mumbai_Indians|27_runs
548362|Pune_Warriors|2|6.900000|138.000000|111.015999|111.094498|7.620477|7.615954|Royal_Challengers_Bangalore|1|8.650000|173.000000|102.412839|122.792608|7.548542|7.922450|Royal_Challengers_Bangalore|35_runs
548361|Rajasthan_Royals|1|6.300000|126.000000|129.267947|134.675785|7.657702|7.271925|Chennai_Super_Kings|2|6.990000|127.000000|115.253193|123.574144|7.297167|7.916667|Chennai_Super_Kings|4_wickets_(with_11_balls_remaining)
548329|Deccan_Chargers|1|9.350000|187.000000|108.598471|120.084866|6.602564|6.250000|Delhi_Daredevils|2|11.580000|193.000000|104.299939|125.471698|10.766844|8.299645|Delhi_Daredevils|9_wickets_(with_20_balls_remaining)
548360|Mumbai_Indians|1|7.050000|141.000000|116.884005|120.731707|7.767758|7.650939|Royal_Challengers_Bangalore|2|7.880000|142.000000|102.412839|122.792608|7.548542|7.922450|Royal_Challengers_Bangalore|9_wickets_(with_12_balls_remaining)
548359|Deccan_Chargers|2|7.250000|145.000000|113.986942|120.084866|6.582090|6.250000|Kings_XI_Punjab|1|8.500000|170.000000|99.606825|115.645102|6.442447|6.444444|Kings_XI_Punjab|25_runs
548358|Pune_Warriors|1|6.250000|125.000000|123.470542|117.755682|7.876470|7.662019|Rajasthan_Royals|2|7.710000|126.000000|129.285476|134.675785|6.876936|6.974790|Rajasthan_Royals|7_wickets_(with_22_balls_remaining)
548357|Delhi_Daredevils|1|7.650000|153.000000|109.922623|125.471698|11.411348|7.765957|Kolkata_Knight_Riders|2|8.250000|154.000000|126.637193|128.274734|7.953098|8.125960|Kolkata_Knight_Riders|6_wickets_(with_8_balls_remaining)
548356|Royal_Challengers_Bangalore|2|9.820000|185.000000|111.148312|125.723366|7.389539|7.606557|Deccan_Chargers|1|9.050000|181.000000|99.510752|112.500000|6.102564|6.250000|Royal_Challengers_Bangalore|5_wickets_(with_7_balls_remaining)
548355|Mumbai_Indians|2|8.700000|174.000000|96.818087|110.256410|8.033970|7.998512|Chennai_Super_Kings|1|8.650000|173.000000|111.479809|116.216216|7.680028|7.958333|Mumbai_Indians|2_wickets_(with_0_balls_remaining)
548354|Kings_XI_Punjab|2|6.700000|134.000000|118.760051|115.645102|6.915169|6.527307|Rajasthan_Royals|1|8.850000|177.000000|129.267947|134.675785|7.657702|7.271925|Rajasthan_Royals|43_runs
548353|Kolkata_Knight_Riders|1|7.500000|150.000000|122.364632|124.200000|7.866667|7.866667|Pune_Warriors|2|7.150000|143.000000|116.387209|111.094498|7.670018|7.519101|Kolkata_Knight_Riders|7_runs
548352|Chennai_Super_Kings|1|8.000000|160.000000|111.479809|116.216216|7.680028|7.958333|Deccan_Chargers|2|7.500000|150.000000|116.258960|116.292433|7.041209|6.528846|Chennai_Super_Kings|10_runs
548351|Pune_Warriors|2|5.950000|119.000000|119.545021|113.636364|7.758964|7.600000|Mumbai_Indians|1|6.000000|120.000000|104.925902|115.000000|7.621979|7.650939|Mumbai_Indians|1_run
548350|Royal_Challengers_Bangalore|1|7.900000|158.000000|112.932079|120.985345|7.227849|7.606557|Kings_XI_Punjab|2|8.210000|163.000000|118.760051|115.645102|6.915169|6.527307|Kings_XI_Punjab|4_wickets_(with_1_ball_remaining)
548349|Rajasthan_Royals|1|7.050000|141.000000|138.068794|145.238095|8.523020|8.000000|Delhi_Daredevils|2|9.390000|144.000000|110.064645|125.471698|11.208511|9.182979|Delhi_Daredevils|6_wickets_(with_28_balls_remaining)
548348|Deccan_Chargers|1|9.300000|186.000000|103.832059|116.292433|6.653846|6.528846|Pune_Warriors|2|8.650000|173.000000|124.849835|121.893559|8.131291|8.362272|Deccan_Chargers|13_runs
548347|Chennai_Super_Kings|1|6.950000|139.000000|129.110705|132.346683|7.477130|7.958333|Kolkata_Knight_Riders|2|7.110000|140.000000|126.637193|128.274734|7.953098|8.125960|Kolkata_Knight_Riders|5_wickets_(with_2_balls_remaining)
548346|Mumbai_Indians|2|5.550000|101.000000|92.700109|105.128205|7.735472|7.809524|Deccan_Chargers|1|5.350000|100.000000|117.151248|118.969298|7.294505|6.807692|Mumbai_Indians|5_wickets_(with_11_balls_remaining)
548345|Delhi_Daredevils|1|7.600000|152.000000|113.352019|130.917667|10.841809|9.375000|Rajasthan_Royals|2|7.550000|151.000000|134.279541|133.710597|9.000000|9.000000|Delhi_Daredevils|1_run
548344|Kolkata_Knight_Riders|1|9.500000|190.000000|126.637193|128.274734|7.953098|8.125960|Royal_Challengers_Bangalore|2|7.150000|143.000000|115.178086|122.792608|7.396265|7.922450|Kolkata_Knight_Riders|47_runs
548343|Chennai_Super_Kings|2|7.450000|149.000000|123.546167|119.895180|8.029117|8.082633|Kings_XI_Punjab|1|7.800000|156.000000|99.606825|115.645102|6.442447|6.444444|Kings_XI_Punjab|7_runs
548342|Delhi_Daredevils|1|10.350000|207.000000|113.352019|130.917667|10.841809|9.375000|Mumbai_Indians|2|8.500000|170.000000|109.667239|115.000000|7.685145|7.839927|Delhi_Daredevils|37_runs
548341|Pune_Warriors|2|7.950000|159.000000|122.541329|122.866894|7.729909|7.885835|Deccan_Chargers|1|8.850000|177.000000|115.895551|122.761731|7.013490|7.248134|Deccan_Chargers|18_runs
548337|Pune_Warriors|1|7.300000|146.000000|121.599517|122.866894|7.491270|7.342918|Delhi_Daredevils|2|9.250000|148.000000|110.064645|125.471698|11.208511|9.182979|Delhi_Daredevils|8_wickets_(with_24_balls_remaining)
548336|Rajasthan_Royals|2|7.150000|143.000000|134.279541|133.710597|9.000000|9.000000|Royal_Challengers_Bangalore|1|9.450000|189.000000|115.178086|122.792608|7.396265|7.922450|Royal_Challengers_Bangalore|46_runs
548335|Deccan_Chargers|1|6.300000|126.000000|103.832059|116.292433|6.653846|6.528846|Kolkata_Knight_Riders|2|6.680000|127.000000|126.637193|128.274734|7.953098|8.125960|Kolkata_Knight_Riders|5_wickets_(with_6_balls_remaining)
548334|Mumbai_Indians|1|8.150000|163.000000|109.741275|120.731707|7.560782|7.584762|Kings_XI_Punjab|2|8.410000|164.000000|99.606825|115.645102|6.442447|6.444444|Kings_XI_Punjab|6_wickets_(with_3_balls_remaining)
548333|Delhi_Daredevils|2|8.600000|172.000000|110.064645|125.471698|11.208511|9.182979|Pune_Warriors|1|9.600000|192.000000|120.886178|121.875000|7.311769|7.073036|Pune_Warriors|20_runs
548332|Chennai_Super_Kings|2|7.350000|147.000000|120.532354|116.216216|7.897406|7.958333|Rajasthan_Royals|1|7.300000|146.000000|134.279541|133.710597|9.000000|9.000000|Chennai_Super_Kings|7_wickets_(with_0_balls_remaining)
548331|Kings_XI_Punjab|1|8.150000|163.000000|99.606825|115.645102|6.442447|6.444444|Royal_Challengers_Bangalore|2|8.510000|166.000000|112.932079|120.985345|7.227849|7.606557|Royal_Challengers_Bangalore|5_wickets_(with_3_balls_remaining)
548330|Chennai_Super_Kings|1|8.200000|164.000000|120.532354|116.216216|7.897406|7.958333|Pune_Warriors|2|7.550000|151.000000|122.430274|122.370947|7.749269|7.615954|Chennai_Super_Kings|13_runs
548321|Delhi_Daredevils|2|8.450000|162.000000|113.352019|130.917667|10.841809|9.375000|Deccan_Chargers|1|7.850000|157.000000|113.913001|116.292433|7.555632|7.557692|Delhi_Daredevils|5_wickets_(with_5_balls_remaining)
548328|Kings_XI_Punjab|1|6.200000|124.000000|109.087809|123.000000|6.671121|6.527307|Kolkata_Knight_Riders|2|7.690000|127.000000|126.637193|128.274734|7.953098|8.125960|Kolkata_Knight_Riders|8_wickets_(with_21_balls_remaining)
548327|Royal_Challengers_Bangalore|2|9.300000|186.000000|115.178086|122.792608|7.396265|7.922450|Pune_Warriors|1|9.100000|182.000000|118.511663|121.875000|7.890936|7.742918|Royal_Challengers_Bangalore|6_wickets_(with_0_balls_remaining)
548326|Rajasthan_Royals|2|10.010000|197.000000|132.246328|124.113475|8.028986|8.000000|Deccan_Chargers|1|9.800000|196.000000|114.195602|120.084866|7.555632|7.557692|Rajasthan_Royals|5_wickets_(with_2_balls_remaining)
548325|Mumbai_Indians|1|4.750000|92.000000|106.686587|117.865854|7.152390|6.818182|Delhi_Daredevils|2|6.260000|93.000000|113.352019|130.917667|10.841809|9.375000|Delhi_Daredevils|7_wickets_(with_31_balls_remaining)
548324|Royal_Challengers_Bangalore|2|6.850000|136.000000|99.656068|119.178082|7.069719|7.044019|Rajasthan_Royals|1|9.750000|195.000000|132.246328|124.113475|8.028986|8.000000|Rajasthan_Royals|59_runs
548323|Kolkata_Knight_Riders|2|6.600000|132.000000|119.615280|122.327273|7.337468|7.077451|Kings_XI_Punjab|1|6.700000|134.000000|109.087809|123.000000|6.671121|6.527307|Kings_XI_Punjab|2_runs
548322|Pune_Warriors|2|8.060000|156.000000|118.511663|121.875000|7.727945|7.600000|Chennai_Super_Kings|1|7.750000|155.000000|120.750715|116.216216|8.029117|8.082633|Pune_Warriors|7_wickets_(with_4_balls_remaining)
548320|Kolkata_Knight_Riders|2|7.080000|137.000000|119.615280|122.327273|7.337468|7.077451|Rajasthan_Royals|1|6.550000|131.000000|132.246328|124.113475|8.028986|8.000000|Kolkata_Knight_Riders|5_wickets_(with_4_balls_remaining)
548319|Kings_XI_Punjab|2|6.560000|116.000000|109.087809|123.000000|6.671121|6.527307|Pune_Warriors|1|6.050000|115.000000|118.511663|121.875000|7.890936|7.742918|Kings_XI_Punjab|7_wickets_(with_14_balls_remaining)
548318|Chennai_Super_Kings|2|10.400000|208.000000|122.637007|119.895180|7.872963|7.958333|Royal_Challengers_Bangalore|1|10.250000|205.000000|99.656068|119.178082|7.069719|7.044019|Chennai_Super_Kings|5_wickets_(with_0_balls_remaining)
548317|Mumbai_Indians|1|9.850000|197.000000|102.774267|117.865854|7.685775|7.809524|Rajasthan_Royals|2|8.640000|170.000000|134.788429|134.675785|7.043478|7.043478|Mumbai_Indians|27_runs
548316|Delhi_Daredevils|2|8.320000|111.000000|109.397626|125.471698|10.353172|7.765957|Chennai_Super_Kings|1|5.500000|110.000000|122.637007|119.895180|7.872963|7.958333|Delhi_Daredevils|8_wickets_(with_40_balls_remaining)
548315|Royal_Challengers_Bangalore|2|6.150000|123.000000|99.656068|119.178082|7.069719|7.044019|Kolkata_Knight_Riders|1|8.250000|165.000000|123.670240|124.200000|7.495166|7.088235|Kolkata_Knight_Riders|42_runs
548314|Deccan_Chargers|1|6.900000|138.000000|116.258960|116.292433|7.041209|6.528846|Mumbai_Indians|2|7.100000|142.000000|102.774267|117.865854|7.685775|7.809524|Mumbai_Indians|5_wickets_(with_0_balls_remaining)
548313|Pune_Warriors|1|8.300000|166.000000|113.131024|113.636364|7.791591|7.742918|Kings_XI_Punjab|2|7.200000|144.000000|109.359762|123.145102|6.671121|6.527307|Pune_Warriors|22_runs
548312|Rajasthan_Royals|1|8.200000|164.000000|132.246328|124.113475|8.043478|8.043478|Kolkata_Knight_Riders|2|7.100000|142.000000|126.637193|128.274734|7.953098|8.125960|Rajasthan_Royals|22_runs
548311|Deccan_Chargers|2|6.930000|119.000000|115.493779|112.500000|7.638278|6.807692|Chennai_Super_Kings|1|9.650000|193.000000|122.637007|119.895180|7.872963|7.958333|Chennai_Super_Kings|74_runs
548310|Royal_Challengers_Bangalore|1|7.850000|157.000000|91.887903|114.267404|6.962352|6.481481|Delhi_Daredevils|2|6.850000|137.000000|102.805113|125.471698|10.258511|7.282979|Royal_Challengers_Bangalore|20_runs
548309|Rajasthan_Royals|1|9.550000|191.000000|132.246328|124.113475|8.043478|8.043478|Kings_XI_Punjab|2|8.000000|160.000000|105.609762|115.645102|6.442447|6.444444|Rajasthan_Royals|31_runs
548308|Mumbai_Indians|2|5.050000|101.000000|102.774267|117.865854|7.685775|7.809524|Pune_Warriors|1|6.450000|129.000000|115.134922|111.094498|7.709807|7.600000|Pune_Warriors|28_runs
548307|Kolkata_Knight_Riders|1|8.080000|97.000000|126.637193|128.274734|7.953098|8.125960|Delhi_Daredevils|2|8.950000|100.000000|104.670928|119.735849|10.291465|7.348888|Delhi_Daredevils|8_wickets_(with_5_balls_remaining)
548306|Chennai_Super_Kings|1|5.640000|112.000000|122.637007|119.895180|7.872963|7.958333|Mumbai_Indians|2|6.830000|115.000000|117.456305|120.731707|7.533404|7.650939|Mumbai_Indians|8_wickets_(with_19_balls_remaining)
