MatchID|Team1|InningsNumteam1|runrate_t1|score_t1|mean_sr_t1_bin_3|median_sr_t1_bin_3|mean_er_t1_bin_3|median_er_t1_bin_3|Team2|InningsNumteam2|runrate_t2|score_t2|mean_sr_t2_bin_3|median_sr_t2_bin_3|mean_er_t2_bin_3|median_er_t2_bin_3|Won_By|Winning_type
548381|Kolkata_Knight_Riders|2|9.760000|192.000000|124.230301|120.785559|7.771199|7.904467|Chennai_Super_Kings|1|9.500000|190.000000|116.857958|118.108108|7.396351|7.916667|Kolkata_Knight_Riders|5_wickets_(with_2_balls_remaining)
548380|Delhi_Daredevils|2|8.070000|136.000000|118.498105|124.859304|8.833333|8.833333|Chennai_Super_Kings|1|11.100000|222.000000|116.857958|118.108108|7.396351|7.916667|Chennai_Super_Kings|86_runs
548379|Chennai_Super_Kings|1|9.350000|187.000000|116.857958|118.108108|7.396351|7.916667|Mumbai_Indians|2|7.450000|149.000000|103.592748|108.125000|7.966681|7.809524|Chennai_Super_Kings|38_runs
548378|Delhi_Daredevils|2|7.200000|144.000000|120.053420|138.361266|7.915106|7.915106|Kolkata_Knight_Riders|1|8.100000|162.000000|125.177309|120.971867|7.292633|7.066667|Kolkata_Knight_Riders|18_runs
548377|Rajasthan_Royals|1|8.100000|162.000000|126.582124|145.238095|7.357688|7.357688|Mumbai_Indians|2|9.050000|163.000000|103.592748|108.125000|7.966681|7.809524|Mumbai_Indians|10_wickets_(with_12_balls_remaining)
548376|Deccan_Chargers|1|6.600000|132.000000|103.369381|117.516447|6.679864|6.580882|Royal_Challengers_Bangalore|2|6.150000|123.000000|101.869918|126.822157|7.743539|8.285706|Deccan_Chargers|9_runs
548375|Pune_Warriors|2|5.100000|102.000000|105.865743|110.445671|7.786490|8.010768|Kolkata_Knight_Riders|1|6.800000|136.000000|119.020307|120.785559|7.292633|7.066667|Kolkata_Knight_Riders|34_runs
548374|Kings_XI_Punjab|1|7.050000|141.000000|113.471449|123.747681|6.921257|6.539484|Delhi_Daredevils|2|7.900000|145.000000|102.082268|108.835806|8.221182|8.833333|Delhi_Daredevils|6_wickets_(with_10_balls_remaining)
548373|Deccan_Chargers|2|6.850000|128.000000|99.536678|112.500000|6.679864|6.580882|Rajasthan_Royals|1|6.300000|126.000000|125.774958|133.488613|7.010816|7.062315|Deccan_Chargers|5_wickets_(with_8_balls_remaining)
548372|Delhi_Daredevils|2|9.700000|194.000000|112.308492|124.859304|8.972222|8.972222|Royal_Challengers_Bangalore|1|10.750000|215.000000|101.869918|126.822157|7.743539|8.285706|Royal_Challengers_Bangalore|21_runs
548371|Kings_XI_Punjab|2|7.450000|123.000000|113.471449|123.747681|6.921257|6.539484|Chennai_Super_Kings|1|6.000000|120.000000|116.929263|120.000000|7.396351|7.916667|Kings_XI_Punjab|6_wickets_(with_21_balls_remaining)
548370|Mumbai_Indians|2|5.630000|108.000000|94.585636|110.000000|8.079606|8.270270|Kolkata_Knight_Riders|1|7.000000|140.000000|119.020307|120.785559|7.292633|7.066667|Kolkata_Knight_Riders|32_runs
