MatchID|Team1|InningsNumteam1|runrate_t1|score_t1|mean_sr_t1_bin_1|median_sr_t1_bin_1|mean_er_t1_bin_1|median_er_t1_bin_1|Team2|InningsNumteam2|runrate_t2|score_t2|mean_sr_t2_bin_1|median_sr_t2_bin_1|mean_er_t2_bin_1|median_er_t2_bin_1|Won_By|Winning_type
548381|Kolkata_Knight_Riders|2|9.760000|192.000000|96.866516|103.733032|7.704167|7.800000|Chennai_Super_Kings|1|9.500000|190.000000|105.073110|116.441441|4.750000|4.500000|Kolkata_Knight_Riders|5_wickets_(with_2_balls_remaining)
548380|Delhi_Daredevils|2|8.070000|136.000000|120.619318|121.583463|8.833333|8.833333|Chennai_Super_Kings|1|11.100000|222.000000|105.073110|116.441441|4.750000|4.500000|Chennai_Super_Kings|86_runs
548379|Chennai_Super_Kings|1|9.350000|187.000000|105.073110|116.441441|4.750000|4.500000|Mumbai_Indians|2|7.450000|149.000000|132.738095|133.333333|9.374035|8.181818|Chennai_Super_Kings|38_runs
548378|Delhi_Daredevils|2|7.200000|144.000000|134.388975|129.007634|7.625000|7.625000|Kolkata_Knight_Riders|1|8.100000|162.000000|113.532077|119.230769|6.962500|6.962500|Kolkata_Knight_Riders|18_runs
548377|Rajasthan_Royals|1|8.100000|162.000000|155.141172|147.619048|8.031250|8.031250|Mumbai_Indians|2|9.050000|163.000000|132.738095|133.333333|9.374035|8.181818|Mumbai_Indians|10_wickets_(with_12_balls_remaining)
548376|Deccan_Chargers|1|6.600000|132.000000|103.239651|113.559322|5.333333|5.333333|Royal_Challengers_Bangalore|2|6.150000|123.000000|120.416667|128.653846|7.823387|6.800000|Deccan_Chargers|9_runs
548375|Pune_Warriors|2|5.100000|102.000000|107.675792|130.434783|7.062500|7.062500|Kolkata_Knight_Riders|1|6.800000|136.000000|107.207881|103.733032|6.962500|6.962500|Kolkata_Knight_Riders|34_runs
548374|Kings_XI_Punjab|1|7.050000|141.000000|50.964912|50.964912|7.283784|7.283784|Delhi_Daredevils|2|7.900000|145.000000|107.492423|114.159292|8.229167|8.229167|Delhi_Daredevils|6_wickets_(with_10_balls_remaining)
548373|Deccan_Chargers|2|6.850000|128.000000|98.235610|113.029661|5.333333|5.333333|Rajasthan_Royals|1|6.300000|126.000000|146.644340|146.428571|7.566288|6.636364|Deccan_Chargers|5_wickets_(with_8_balls_remaining)
548372|Delhi_Daredevils|2|9.700000|194.000000|120.619318|121.583463|8.833333|8.833333|Royal_Challengers_Bangalore|1|10.750000|215.000000|120.416667|128.653846|7.823387|6.800000|Royal_Challengers_Bangalore|21_runs
548371|Kings_XI_Punjab|2|7.450000|123.000000|50.964912|50.964912|7.283784|7.283784|Chennai_Super_Kings|1|6.000000|120.000000|102.844489|116.666667|4.750000|4.500000|Kings_XI_Punjab|6_wickets_(with_21_balls_remaining)
