PlayerID_Name|Year|ERA|WHIP|WAR
1800__greg_maddux|2008|3.990000|1.220000|0.400000
1800__greg_maddux|2008|4.220000|1.210000|0.200000
1809__mike_jackson|1986|3.380000|1.200000|0.200000
1809__mike_jackson|1987|4.200000|1.320000|0.600000
1809__mike_jackson|1988|2.630000|1.180000|2.300000
1809__mike_jackson|1989|3.170000|1.360000|1.000000
1809__mike_jackson|1990|4.540000|1.400000|-0.800000
1809__mike_jackson|1991|3.250000|1.110000|1.800000
1809__mike_jackson|1992|3.730000|1.330000|0.000000
1809__mike_jackson|1993|3.030000|1.060000|0.900000
1809__mike_jackson|1994|1.490000|0.800000|1.700000
1809__mike_jackson|1995|2.390000|1.160000|1.400000
1809__mike_jackson|1996|3.630000|1.180000|1.100000
1809__mike_jackson|1997|3.240000|1.170000|1.200000
1809__mike_jackson|1998|1.550000|0.880000|3.700000
1809__mike_jackson|1999|4.060000|1.250000|1.000000
1809__mike_jackson|2001|4.700000|1.300000|0.400000
1809__mike_jackson|2002|3.270000|1.310000|1.100000
1809__mike_jackson|2004|5.010000|1.500000|0.100000
1818__terry_mulholland|1986|4.940000|1.570000|-0.700000
1818__terry_mulholland|1988|3.720000|1.240000|0.100000
1818__terry_mulholland|1989|5.000000|1.480000|0.000000
1818__terry_mulholland|1989|4.090000|1.730000|0.000000
1818__terry_mulholland|1989|4.920000|1.500000|0.000000
1818__terry_mulholland|1990|3.340000|1.180000|1.500000
1818__terry_mulholland|1991|3.610000|1.210000|2.600000
1818__terry_mulholland|1992|3.810000|1.190000|1.900000
1818__terry_mulholland|1993|3.250000|1.140000|3.500000
1818__terry_mulholland|1994|6.490000|1.550000|-1.200000
1818__terry_mulholland|1995|5.800000|1.530000|-2.900000
1818__terry_mulholland|1996|4.670000|1.490000|0.700000
1818__terry_mulholland|1996|4.660000|1.340000|1.100000
1818__terry_mulholland|1996|4.660000|1.390000|1.800000
1818__terry_mulholland|1997|4.070000|1.320000|1.300000
1818__terry_mulholland|1997|5.160000|1.150000|-0.500000
1818__terry_mulholland|1997|4.240000|1.290000|0.800000
1818__terry_mulholland|1998|2.890000|1.240000|1.700000
1818__terry_mulholland|1999|2.980000|1.280000|1.400000
1818__terry_mulholland|1999|5.150000|1.540000|0.100000
1818__terry_mulholland|1999|4.390000|1.440000|1.500000
1818__terry_mulholland|2000|5.110000|1.530000|-0.300000
1818__terry_mulholland|2001|5.830000|1.600000|-0.400000
1818__terry_mulholland|2001|3.720000|1.320000|0.600000
1818__terry_mulholland|2001|4.660000|1.450000|0.200000
1818__terry_mulholland|2002|4.600000|1.490000|0.200000
1818__terry_mulholland|2002|7.310000|1.630000|-0.900000
1818__terry_mulholland|2002|5.700000|1.540000|-0.700000
1818__terry_mulholland|2003|4.910000|1.560000|-0.200000
1818__terry_mulholland|2004|5.180000|1.590000|0.500000
1818__terry_mulholland|2005|4.270000|1.320000|0.200000
1818__terry_mulholland|2006|9.000000|2.670000|-0.100000
1834__kenny_rogers|1989|2.930000|1.380000|1.300000
1834__kenny_rogers|1990|3.130000|1.380000|1.400000
1834__kenny_rogers|1991|5.420000|1.660000|-2.100000
1834__kenny_rogers|1992|3.090000|1.350000|1.100000
1834__kenny_rogers|1993|4.100000|1.350000|2.000000
1834__kenny_rogers|1994|4.460000|1.320000|2.600000
1834__kenny_rogers|1995|3.380000|1.290000|5.500000
1834__kenny_rogers|1996|4.680000|1.460000|3.200000
1834__kenny_rogers|1997|5.650000|1.540000|-0.100000
1834__kenny_rogers|1998|3.170000|1.180000|7.200000
1834__kenny_rogers|1999|4.300000|1.470000|1.600000
1834__kenny_rogers|1999|4.030000|1.300000|1.100000
1834__kenny_rogers|1999|4.190000|1.410000|2.700000
1834__kenny_rogers|2000|4.550000|1.470000|4.700000
1834__kenny_rogers|2001|6.190000|1.650000|0.000000
1834__kenny_rogers|2002|3.840000|1.340000|4.600000
1834__kenny_rogers|2003|4.570000|1.420000|1.700000
1834__kenny_rogers|2004|4.760000|1.480000|3.400000
1834__kenny_rogers|2005|3.460000|1.320000|4.500000
1834__kenny_rogers|2006|3.840000|1.260000|2.900000
1834__kenny_rogers|2007|4.430000|1.430000|0.200000
1834__kenny_rogers|2008|5.700000|1.630000|-0.200000
1837__kevin_brown|1986|3.600000|1.200000|0.200000
1837__kevin_brown|1988|4.240000|1.760000|-0.200000
1837__kevin_brown|1989|3.350000|1.240000|3.300000
1837__kevin_brown|1990|3.600000|1.310000|1.900000
1837__kevin_brown|1991|4.400000|1.530000|1.400000
1837__kevin_brown|1992|3.320000|1.270000|4.400000
1837__kevin_brown|1993|3.590000|1.300000|3.700000
1837__kevin_brown|1994|4.820000|1.580000|1.400000
1837__kevin_brown|1995|3.600000|1.180000|4.100000
1837__kevin_brown|1996|1.890000|0.940000|7.700000
1837__kevin_brown|1997|2.690000|1.180000|6.700000
1837__kevin_brown|1998|2.380000|1.070000|8.300000
1837__kevin_brown|1999|3.000000|1.070000|5.900000
1837__kevin_brown|2000|2.580000|0.990000|6.800000
1837__kevin_brown|2001|2.650000|1.140000|3.000000
1837__kevin_brown|2002|4.810000|1.430000|-0.500000
