MatchID|Team1|mean_PTS_t1_bin_3|mean_STL_t1_bin_3|mean_AST_t1_bin_3|mean_DBPM_t1_bin_3|mean_BPM_t1_bin_3|mean_VORP_t1_bin_3|HAteam01|Team2|mean_PTS_t2_bin_3|mean_STL_t2_bin_3|mean_AST_t2_bin_3|mean_DBPM_t2_bin_3|mean_BPM_t2_bin_3|mean_VORP_t2_bin_3|HAteam02
400488874|orlando_magic|7.217361|0.555556|1.545833|-0.284722|-2.433333|0.162500|away|indiana_pacers|8.715000|0.604444|1.748889|-0.158611|-1.179742|0.886468|home
400488875|chicago_bulls|10.250758|0.682576|2.520455|0.401515|-0.395455|1.214394|away|miami_heat|10.930769|0.839744|2.053846|0.549359|0.912821|1.713462|home
400488876|los_angeles_clippers|11.489583|0.804861|2.594444|-0.636111|-0.186806|1.354167|away|los_angeles_lakers|8.725694|0.518056|2.243056|-1.008681|-2.355208|0.328472|home
400488877|brooklyn_nets|11.779167|0.755556|2.697222|-0.484375|-0.559722|1.188889|away|cleveland_cavaliers|10.455606|0.713636|1.987727|-1.530087|-1.771212|0.538961|home
400488878|miami_heat|9.517949|0.732051|1.758974|0.461806|0.457639|1.427083|away|philadelphia_76ers|6.123148|0.477778|1.275000|0.221481|-2.195556|0.147593|home
400488879|boston_celtics|9.288667|0.723333|1.494333|-0.045917|-1.493167|0.438726|away|toronto_raptors|9.393056|0.713194|1.950694|-0.528472|-0.679167|0.606250|home
400488880|washington_wizards|9.089583|0.761806|2.059722|0.324190|-0.907523|0.654630|away|detroit_pistons|9.955556|0.813889|1.807407|-0.287963|-0.287963|1.100000|home
400488881|milwaukee_bucks|9.605000|0.715000|1.920000|-0.182500|-0.850833|0.550833|away|new_york_knicks|11.691667|0.930556|2.417361|0.013194|0.021111|1.006111|home
400488882|charlotte_bobcats|9.220139|0.624306|2.023611|-0.964394|-2.385606|0.230303|away|houston_rockets|8.644231|0.803205|1.853846|0.731273|0.555266|1.049451|home
400488883|orlando_magic|7.217361|0.555556|1.545833|-0.284722|-2.433333|0.162500|away|minnesota_timberwolves|11.045000|0.889167|2.460000|-0.163333|-0.468333|0.560000|home
400488884|indiana_pacers|8.715000|0.604444|1.748889|-0.158611|-1.179742|0.886468|away|new_orleans_pelicans|9.725000|0.807576|2.150000|-0.277273|-1.203788|0.467424|home
400488885|atlanta_hawks|8.017273|0.624545|1.599091|-1.078485|-2.073712|0.820227|away|dallas_mavericks|10.695833|0.834167|2.445833|0.062500|-0.020833|0.929167|home
400488886|memphis_grizzlies|8.901515|0.782576|1.989394|0.253333|-0.241212|1.121061|away|san_antonio_spurs|8.780769|0.650000|2.117949|0.206410|0.385256|1.200641|home
400488887|oklahoma_city_thunder|6.946212|0.553636|1.198636|0.017045|-1.817803|0.906818|away|utah_jazz|6.778333|0.455000|1.365000|-1.161667|-2.640667|0.280667|home
400488888|portland_trail_blazers|10.227778|0.725000|2.055556|-0.613194|-1.476389|0.726389|away|phoenix_suns|6.452500|0.619167|1.492500|-0.123457|-2.028086|0.507407|home
400488889|denver_nuggets|8.187179|0.603846|1.855769|-0.848654|-1.633590|0.509295|away|sacramento_kings|8.909028|0.675694|1.967361|-1.067667|-1.115333|0.511833|home
400488890|los_angeles_lakers|8.725694|0.518056|2.243056|-1.008681|-2.355208|0.328472|away|golden_state_warriors|10.056061|0.785606|2.281818|0.300000|-0.685606|0.982576|home
400488891|new_york_knicks|12.568182|0.996970|2.621212|-0.121970|0.248485|1.103030|away|chicago_bulls|10.250758|0.682576|2.520455|0.401515|-0.395455|1.214394|home
400488892|golden_state_warriors|10.056061|0.785606|2.281818|0.300000|-0.685606|0.982576|away|los_angeles_clippers|11.489583|0.804861|2.594444|-0.636111|-0.186806|1.354167|home
400488893|cleveland_cavaliers|10.455606|0.713636|1.987727|-1.530087|-1.771212|0.538961|away|charlotte_bobcats|8.373485|0.608333|2.022727|-1.133333|-2.729167|0.070833|home
400488894|new_orleans_pelicans|9.725000|0.807576|2.150000|-0.277273|-1.203788|0.467424|away|orlando_magic|7.217361|0.555556|1.545833|-0.284722|-2.433333|0.162500|home
400488895|philadelphia_76ers|6.123148|0.477778|1.275000|0.221481|-2.195556|0.147593|away|washington_wizards|9.089583|0.761806|2.059722|0.324190|-0.907523|0.654630|home
400488896|toronto_raptors|9.288889|0.734028|1.969444|-0.135417|-0.484722|0.600694|away|atlanta_hawks|8.017273|0.624545|1.599091|-1.078485|-2.073712|0.820227|home
400488897|milwaukee_bucks|9.605000|0.715000|1.920000|-0.182500|-0.850833|0.550833|away|boston_celtics|9.288667|0.723333|1.494333|-0.045917|-1.493167|0.438726|home
400488898|dallas_mavericks|10.695833|0.834167|2.445833|0.062500|-0.020833|0.929167|away|houston_rockets|8.897917|0.795139|1.766667|0.675546|0.318204|1.053571|home
400488899|detroit_pistons|10.581481|0.854630|2.203704|-0.265741|-0.162963|1.161111|away|memphis_grizzlies|8.901515|0.782576|1.989394|0.253333|-0.241212|1.121061|home
400488900|oklahoma_city_thunder|6.946212|0.553636|1.198636|0.017045|-1.817803|0.906818|away|minnesota_timberwolves|11.045000|0.889167|2.460000|-0.163333|-0.468333|0.560000|home
400488901|miami_heat|11.533333|0.887500|2.191667|0.930128|1.330128|1.750000|away|brooklyn_nets|11.800000|0.805128|2.712821|-0.267628|-0.237179|1.305128|home
400488902|portland_trail_blazers|10.227778|0.725000|2.055556|-0.613194|-1.476389|0.726389|away|denver_nuggets|8.187179|0.603846|1.855769|-0.848654|-1.633590|0.509295|home
400488903|utah_jazz|6.778333|0.455000|1.365000|-1.161667|-2.640667|0.280667|away|phoenix_suns|6.452500|0.619167|1.492500|-0.123457|-2.028086|0.507407|home
400488904|los_angeles_clippers|11.489583|0.804861|2.594444|-0.636111|-0.186806|1.354167|away|sacramento_kings|8.909028|0.675694|1.967361|-1.067667|-1.115333|0.511833|home
400488905|san_antonio_spurs|7.878205|0.642308|2.066667|0.008333|0.002564|0.967949|away|los_angeles_lakers|8.725694|0.518056|2.243056|-1.008681|-2.355208|0.328472|home
400488906|cleveland_cavaliers|10.001167|0.740000|2.046500|-1.859762|-2.165000|0.402857|away|indiana_pacers|8.715000|0.604444|1.748889|-0.158611|-1.179742|0.886468|home
400488907|chicago_bulls|10.250758|0.682576|2.520455|0.401515|-0.395455|1.214394|away|philadelphia_76ers|6.123148|0.477778|1.275000|0.221481|-2.195556|0.147593|home
400488908|charlotte_bobcats|8.373485|0.608333|2.022727|-1.133333|-2.729167|0.070833|away|new_orleans_pelicans|9.725000|0.807576|2.150000|-0.277273|-1.203788|0.467424|home
400488909|memphis_grizzlies|8.901515|0.782576|1.989394|0.253333|-0.241212|1.121061|away|dallas_mavericks|10.695833|0.834167|2.445833|0.062500|-0.020833|0.929167|home
400488910|toronto_raptors|9.227778|0.725694|1.986111|-0.207639|-0.729167|0.588194|away|milwaukee_bucks|9.605000|0.715000|1.920000|-0.182500|-0.850833|0.550833|home
400488911|houston_rockets|8.644231|0.803205|1.853846|0.731273|0.555266|1.049451|away|utah_jazz|6.778333|0.455000|1.365000|-1.161667|-2.640667|0.280667|home
400488912|san_antonio_spurs|8.780769|0.650000|2.117949|0.206410|0.385256|1.200641|away|portland_trail_blazers|10.169444|0.758333|2.308333|-0.615278|-1.411806|0.743056|home
400488913|sacramento_kings|8.909028|0.675694|1.967361|-1.067667|-1.115333|0.511833|away|golden_state_warriors|10.056061|0.785606|2.281818|0.300000|-0.685606|0.982576|home
400488914|boston_celtics|9.288667|0.723333|1.494333|-0.045917|-1.493167|0.438726|away|detroit_pistons|12.198148|0.984259|2.809259|-0.135185|0.556481|1.394444|home
400488915|washington_wizards|9.089583|0.761806|2.059722|0.324190|-0.907523|0.654630|away|miami_heat|10.930769|0.839744|2.053846|0.549359|0.912821|1.713462|home
400488916|brooklyn_nets|12.600000|0.847222|2.888889|-0.173264|0.384722|1.438889|away|orlando_magic|7.217361|0.555556|1.545833|-0.284722|-2.433333|0.162500|home
400488917|phoenix_suns|6.452500|0.619167|1.492500|-0.123457|-2.028086|0.507407|away|oklahoma_city_thunder|8.596212|0.658182|1.747121|0.079924|-1.221591|1.261364|home
400488918|minnesota_timberwolves|11.370833|0.873333|2.630000|-0.710833|-0.804167|0.513333|away|new_york_knicks|11.691667|0.930556|2.417361|0.013194|0.021111|1.006111|home
