MatchID|Team1|mean_PTS_t1_bin_5|mean_STL_t1_bin_5|mean_AST_t1_bin_5|mean_DBPM_t1_bin_5|mean_BPM_t1_bin_5|mean_VORP_t1_bin_5|HAteam01|Team2|mean_PTS_t2_bin_5|mean_STL_t2_bin_5|mean_AST_t2_bin_5|mean_DBPM_t2_bin_5|mean_BPM_t2_bin_5|mean_VORP_t2_bin_5|HAteam02
400488874|orlando_magic|7.076667|0.547222|1.475278|-0.281250|-2.359722|0.186806|away|indiana_pacers|8.950278|0.618472|1.715139|-0.086944|-1.204127|0.830119|home
400488875|chicago_bulls|10.136364|0.683485|2.348939|0.312929|-0.607197|1.103636|away|miami_heat|11.861282|0.866923|2.266923|0.614872|1.002564|1.961538|home
400488876|los_angeles_clippers|11.497202|0.801032|2.669167|-0.616389|-0.306944|1.351597|away|los_angeles_lakers|8.654167|0.494028|2.226667|-0.980625|-2.367847|0.338403|home
400488877|brooklyn_nets|11.901042|0.758194|2.747431|-0.417001|-0.466073|1.302178|away|cleveland_cavaliers|10.280455|0.693636|1.934242|-1.469177|-1.771136|0.525931|home
400488878|miami_heat|10.418205|0.754615|1.933077|0.549444|0.541667|1.669444|away|philadelphia_76ers|6.164630|0.473333|1.274259|0.227037|-2.190926|0.117963|home
400488879|boston_celtics|9.274524|0.749857|1.459238|-0.013798|-1.431631|0.453869|away|toronto_raptors|8.807500|0.668056|1.702917|-0.495139|-0.814514|0.488958|home
400488880|washington_wizards|9.159008|0.777976|2.012024|0.267940|-1.116898|0.604977|away|detroit_pistons|10.309471|0.864868|1.950847|-0.202963|-0.218889|1.151852|home
400488881|milwaukee_bucks|9.919833|0.741333|1.966167|-0.244250|-0.928000|0.555500|away|new_york_knicks|12.050556|0.941389|2.464583|0.021528|0.078750|1.072778|home
400488882|charlotte_bobcats|9.099167|0.622500|1.951806|-0.894805|-2.277219|0.270130|away|houston_rockets|8.961355|0.813571|1.899469|0.719423|0.625171|1.100791|home
400488883|orlando_magic|7.076667|0.547222|1.475278|-0.281250|-2.359722|0.186806|away|minnesota_timberwolves|10.806667|0.873667|2.458667|-0.179667|-0.604917|0.533250|home
400488884|indiana_pacers|8.950278|0.618472|1.715139|-0.086944|-1.204127|0.830119|away|new_orleans_pelicans|9.530000|0.801212|2.109545|-0.272965|-1.212468|0.469697|home
400488885|atlanta_hawks|7.653030|0.574545|1.490606|-1.129188|-2.331883|0.673907|away|dallas_mavericks|11.191000|0.834167|2.424500|0.126583|0.133500|1.077667|home
400488886|memphis_grizzlies|9.065455|0.735455|1.976515|0.166818|-0.520671|0.991234|away|san_antonio_spurs|8.846300|0.637491|2.075421|0.217436|0.356795|1.275769|home
400488887|oklahoma_city_thunder|7.490693|0.573398|1.207771|0.017197|-1.866288|0.818712|away|utah_jazz|7.148167|0.510167|1.358167|-1.165500|-2.534167|0.287250|home
400488888|portland_trail_blazers|9.598333|0.676667|1.903194|-0.564306|-1.669861|0.698542|away|phoenix_suns|5.960000|0.586667|1.385000|-0.478219|-2.172690|0.370582|home
400488889|denver_nuggets|8.154890|0.603407|1.818498|-0.817491|-1.589615|0.560311|away|sacramento_kings|9.420357|0.694167|1.969762|-1.006500|-1.056000|0.515250|home
400488890|los_angeles_lakers|8.654167|0.494028|2.226667|-0.980625|-2.367847|0.338403|away|golden_state_warriors|10.683485|0.798636|2.287121|0.209740|-0.654221|1.020076|home
400488891|new_york_knicks|12.959697|1.008788|2.672727|-0.112879|0.311364|1.175758|away|chicago_bulls|10.136364|0.683485|2.348939|0.312929|-0.607197|1.103636|home
400488892|golden_state_warriors|10.683485|0.798636|2.287121|0.209740|-0.654221|1.020076|away|los_angeles_clippers|11.497202|0.801032|2.669167|-0.616389|-0.306944|1.351597|home
400488893|cleveland_cavaliers|10.280455|0.693636|1.934242|-1.469177|-1.771136|0.525931|away|charlotte_bobcats|8.184545|0.606364|1.956515|-1.029286|-2.591607|0.127143|home
400488894|new_orleans_pelicans|9.530000|0.801212|2.109545|-0.272965|-1.212468|0.469697|away|orlando_magic|7.076667|0.547222|1.475278|-0.281250|-2.359722|0.186806|home
