MatchID|Team1|mean_PTS_t1_bin_1|mean_STL_t1_bin_1|mean_AST_t1_bin_1|mean_DBPM_t1_bin_1|mean_BPM_t1_bin_1|mean_VORP_t1_bin_1|HAteam01|Team2|mean_PTS_t2_bin_1|mean_STL_t2_bin_1|mean_AST_t2_bin_1|mean_DBPM_t2_bin_1|mean_BPM_t2_bin_1|mean_VORP_t2_bin_1|HAteam02
400488874|orlando_magic|8.016667|0.591667|1.841667|-0.300000|-2.534028|0.090972|away|indiana_pacers|9.886364|0.740909|2.090909|0.150000|-0.714881|1.063690|home
400488875|chicago_bulls|9.020000|0.720000|2.350000|0.559091|-0.040909|1.140909|away|miami_heat|9.492308|0.769231|1.984615|0.307692|0.346154|1.280769|home
400488876|los_angeles_clippers|11.400000|0.854167|2.679167|-0.662500|0.360417|1.400000|away|los_angeles_lakers|8.260000|0.460000|1.930000|-1.077083|-2.616667|0.137500|home
400488877|brooklyn_nets|11.229167|0.741667|2.391667|-0.604167|-0.731250|1.054167|away|cleveland_cavaliers|11.460000|0.870000|2.410000|-1.481818|-1.168182|0.631818|home
400488878|miami_heat|8.269231|0.653846|1.676923|0.212500|-0.050000|1.100000|away|philadelphia_76ers|6.622222|0.538889|1.500000|0.427778|-1.927778|0.277778|home
400488879|boston_celtics|7.875000|0.710000|1.550000|-0.082500|-1.172500|0.427500|away|toronto_raptors|8.558333|0.662500|1.666667|-0.268750|-0.458333|0.612500|home
400488880|washington_wizards|9.079167|0.729167|2.191667|0.447917|-0.704167|0.614583|away|detroit_pistons|9.400000|0.755556|1.844444|-0.322222|-0.600000|0.894444|home
400488881|milwaukee_bucks|10.100000|0.720000|2.090000|-0.175000|-0.575000|0.650000|away|new_york_knicks|11.570833|0.845833|2.066667|-0.035417|-0.097917|0.918750|home
400488882|charlotte_bobcats|9.722222|0.700000|2.033333|-1.044091|-2.190000|0.216818|away|houston_rockets|9.350000|0.807692|2.053846|0.675641|0.522436|1.036538|home
400488883|orlando_magic|8.016667|0.591667|1.841667|-0.300000|-2.534028|0.090972|away|minnesota_timberwolves|11.390000|0.920000|2.300000|-0.122500|-0.100000|0.665000|home
400488884|indiana_pacers|9.886364|0.740909|2.090909|0.150000|-0.714881|1.063690|away|new_orleans_pelicans|9.313636|0.800000|2.163636|-0.343182|-1.197727|0.440909|home
400488885|atlanta_hawks|8.515152|0.706061|1.875758|-0.841364|-1.262727|0.905455|away|dallas_mavericks|10.120000|0.835000|2.405000|0.082500|0.182500|0.915000|home
400488886|memphis_grizzlies|9.150000|0.818182|2.054545|0.661364|0.595455|1.272727|away|san_antonio_spurs|9.107692|0.715385|2.192308|0.459615|0.848077|1.157692|home
400488887|oklahoma_city_thunder|7.765000|0.600000|1.395000|-0.063636|-1.689394|1.040152|away|utah_jazz|7.088889|0.533333|1.622222|-1.144444|-1.536111|0.419444|home
400488888|portland_trail_blazers|10.262500|0.712500|2.375000|-0.580556|-1.319444|0.765278|away|phoenix_suns|6.483333|0.700000|1.894444|0.022222|-1.680556|0.607407|home
400488889|denver_nuggets|8.284615|0.630769|1.915385|-0.634615|-0.990385|0.636538|away|sacramento_kings|9.909091|0.668182|2.409091|-1.512500|-1.425000|0.412500|home
400488890|los_angeles_lakers|8.260000|0.460000|1.930000|-1.077083|-2.616667|0.137500|away|golden_state_warriors|10.427273|0.804545|2.368182|0.384091|-0.631818|0.881818|home
400488891|new_york_knicks|12.395455|0.913636|2.236364|-0.150000|0.156818|1.009091|away|chicago_bulls|9.020000|0.720000|2.350000|0.559091|-0.040909|1.140909|home
400488892|golden_state_warriors|10.427273|0.804545|2.368182|0.384091|-0.631818|0.881818|away|los_angeles_clippers|11.400000|0.854167|2.679167|-0.662500|0.360417|1.400000|home
400488893|cleveland_cavaliers|11.460000|0.870000|2.410000|-1.481818|-1.168182|0.631818|away|charlotte_bobcats|8.987879|0.672727|2.027273|-1.263500|-2.634000|-0.001500|home
400488894|new_orleans_pelicans|9.313636|0.800000|2.163636|-0.343182|-1.197727|0.440909|away|orlando_magic|8.016667|0.591667|1.841667|-0.300000|-2.534028|0.090972|home
400488895|philadelphia_76ers|6.622222|0.538889|1.500000|0.427778|-1.927778|0.277778|away|washington_wizards|9.079167|0.729167|2.191667|0.447917|-0.704167|0.614583|home
400488896|toronto_raptors|8.341667|0.670833|1.666667|0.035417|-0.445833|0.562500|away|atlanta_hawks|8.515152|0.706061|1.875758|-0.841364|-1.262727|0.905455|home
400488897|milwaukee_bucks|10.100000|0.720000|2.090000|-0.175000|-0.575000|0.650000|away|boston_celtics|7.875000|0.710000|1.550000|-0.082500|-1.172500|0.427500|home
400488898|dallas_mavericks|10.120000|0.835000|2.405000|0.082500|0.182500|0.915000|away|houston_rockets|9.662500|0.800000|1.983333|0.615278|0.282639|1.039583|home
