MatchID|Team1|mu_rel_suc_t1|std_rel_suc_t1|med_rel_suc_t1_bin|score01|HAteam01|Team2|mu_rel_suc_t2|std_rel_suc_t2|med_rel_suc_t2|score02|HAteam02
400488874|orlando_magic|9.474359|14.603937|2.000000|87|away|indiana_pacers|22.269231|34.533400|3.000000|97|home
400488875|chicago_bulls|49.179487|58.633967|22.500000|95|away|miami_heat|115.320513|79.517535|88.000000|107|home
400488876|los_angeles_clippers|22.743590|31.392240|5.000000|103|away|los_angeles_lakers|9.987179|15.787445|4.000000|116|home
400488877|brooklyn_nets|21.064103|36.377416|5.000000|94|away|cleveland_cavaliers|9.076923|10.819936|4.000000|98|home
400488878|miami_heat|88.474359|71.417287|84.000000|110|away|philadelphia_76ers|9.666667|26.390617|1.000000|114|home
400488879|boston_celtics|10.115385|16.374606|2.000000|87|away|toronto_raptors|13.141026|17.677832|6.000000|93|home
400488880|washington_wizards|15.538462|18.004054|1.000000|102|away|detroit_pistons|11.717949|22.715011|3.000000|113|home
400488881|milwaukee_bucks|1.948718|7.735860|0.000000|83|away|new_york_knicks|24.064103|43.269086|2.000000|90|home
400488882|charlotte_bobcats|11.589744|11.190009|5.000000|83|away|houston_rockets|21.294872|19.613646|18.000000|96|home
400488883|orlando_magic|9.474359|14.603937|2.000000|115|away|minnesota_timberwolves|12.602564|16.879163|3.000000|120|home
400488884|indiana_pacers|22.269231|34.533400|3.000000|95|away|new_orleans_pelicans|5.102564|4.903138|7.000000|90|home
400488885|atlanta_hawks|11.269231|26.904710|1.000000|109|away|dallas_mavericks|10.727273|23.058914|4.000000|118|home
400488886|memphis_grizzlies|31.333333|44.936613|3.000000|94|away|san_antonio_spurs|80.615385|101.302825|68.000000|101|home
400488887|oklahoma_city_thunder|39.961538|48.616617|31.000000|101|away|utah_jazz|15.606061|27.984779|1.000000|98|home
400488888|portland_trail_blazers|18.294872|24.073131|5.000000|91|away|phoenix_suns|5.820513|8.576569|4.000000|104|home
400488889|denver_nuggets|29.641026|35.156053|2.000000|88|away|sacramento_kings|20.000000|21.550775|6.000000|90|home
400488890|los_angeles_lakers|9.987179|15.787445|4.000000|94|away|golden_state_warriors|15.487179|23.562652|3.000000|125|home
400488891|new_york_knicks|23.923077|43.344112|2.000000|81|away|chicago_bulls|49.179487|58.633967|22.500000|82|home
400488892|golden_state_warriors|15.487179|23.562652|3.000000|115|away|los_angeles_clippers|22.743590|31.392240|5.000000|126|home
400488893|cleveland_cavaliers|9.076923|10.819936|4.000000|84|away|charlotte_bobcats|11.525641|11.161661|5.000000|90|home
400488894|new_orleans_pelicans|5.102564|4.903138|7.000000|90|away|orlando_magic|9.474359|14.603937|2.000000|110|home
400488895|philadelphia_76ers|9.666667|26.390617|1.000000|109|away|washington_wizards|15.538462|18.004054|1.000000|102|home
400488896|toronto_raptors|14.576923|17.983981|6.000000|95|away|atlanta_hawks|11.269231|26.904710|1.000000|102|home
400488897|milwaukee_bucks|1.948718|7.735860|0.000000|105|away|boston_celtics|10.115385|16.374606|2.000000|98|home
400488898|dallas_mavericks|10.727273|23.058914|4.000000|105|away|houston_rockets|21.333333|21.200581|14.000000|113|home
400488899|detroit_pistons|12.717949|25.921923|3.000000|108|away|memphis_grizzlies|31.333333|44.936613|3.000000|111|home
400488900|oklahoma_city_thunder|39.961538|48.616617|31.000000|81|away|minnesota_timberwolves|12.602564|16.879163|3.000000|100|home
400488901|miami_heat|90.141026|78.694105|83.500000|100|away|brooklyn_nets|21.120879|41.647615|5.000000|101|home
400488902|portland_trail_blazers|18.294872|24.073131|5.000000|113|away|denver_nuggets|29.641026|35.156053|2.000000|98|home
400488903|utah_jazz|15.606061|27.984779|1.000000|84|away|phoenix_suns|5.820513|8.576569|4.000000|87|home
400488904|los_angeles_clippers|22.743590|31.392240|5.000000|110|away|sacramento_kings|20.000000|21.550775|6.000000|101|home
400488905|san_antonio_spurs|62.641026|73.373644|52.000000|91|away|los_angeles_lakers|9.987179|15.787445|4.000000|85|home
400488906|cleveland_cavaliers|9.102564|10.820908|4.000000|74|away|indiana_pacers|22.269231|34.533400|3.000000|89|home
400488907|chicago_bulls|49.179487|58.633967|22.500000|104|away|philadelphia_76ers|9.666667|26.390617|1.000000|107|home
400488908|charlotte_bobcats|11.525641|11.161661|5.000000|84|away|new_orleans_pelicans|5.102564|4.903138|7.000000|105|home
400488909|memphis_grizzlies|31.333333|44.936613|3.000000|99|away|dallas_mavericks|10.727273|23.058914|4.000000|111|home
400488910|toronto_raptors|15.884615|19.270664|6.000000|97|away|milwaukee_bucks|1.948718|7.735860|0.000000|90|home
400488911|houston_rockets|21.294872|19.613646|18.000000|104|away|utah_jazz|15.606061|27.984779|1.000000|93|home
400488912|san_antonio_spurs|80.615385|101.302825|68.000000|105|away|portland_trail_blazers|16.269231|23.979517|5.000000|115|home
400488913|sacramento_kings|20.000000|21.550775|6.000000|87|away|golden_state_warriors|15.487179|23.562652|3.000000|98|home
400488914|boston_celtics|10.115385|16.374606|2.000000|77|away|detroit_pistons|12.948718|25.820831|3.000000|87|home
400488915|washington_wizards|15.538462|18.004054|1.000000|93|away|miami_heat|115.320513|79.517535|88.000000|103|home
400488916|brooklyn_nets|20.923077|44.103831|5.000000|86|away|orlando_magic|9.474359|14.603937|2.000000|107|home
400488917|phoenix_suns|5.820513|8.576569|4.000000|96|away|oklahoma_city_thunder|53.256410|60.536159|35.500000|103|home
400488918|minnesota_timberwolves|12.628205|16.862269|3.000000|109|away|new_york_knicks|24.064103|43.269086|2.000000|100|home
400488919|atlanta_hawks|11.269231|26.904710|1.000000|103|away|los_angeles_lakers|9.987179|15.787445|4.000000|105|home
400488920|minnesota_timberwolves|12.628205|16.862269|3.000000|92|away|cleveland_cavaliers|8.743590|10.850305|4.000000|93|home
400488921|golden_state_warriors|15.487179|23.562652|3.000000|110|away|philadelphia_76ers|9.666667|26.390617|1.000000|90|home
400488922|boston_celtics|10.115385|16.374606|2.000000|88|away|memphis_grizzlies|31.333333|44.936613|3.000000|95|home
400488923|houston_rockets|21.294872|19.613646|18.000000|118|away|los_angeles_clippers|22.743590|31.392240|5.000000|137|home
400488924|miami_heat|96.230769|85.150233|84.500000|104|away|toronto_raptors|18.487179|19.328963|6.000000|95|home
400488925|utah_jazz|15.606061|27.984779|1.000000|88|away|brooklyn_nets|20.923077|44.103831|5.000000|104|home
400488926|indiana_pacers|22.269231|34.533400|3.000000|99|away|detroit_pistons|12.717949|25.921923|3.000000|91|home
400488927|charlotte_bobcats|11.525641|11.161661|5.000000|102|away|new_york_knicks|23.923077|43.344112|2.000000|97|home
400488928|phoenix_suns|5.820513|8.576569|4.000000|104|away|new_orleans_pelicans|5.102564|4.903138|7.000000|98|home
400488929|los_angeles_lakers|9.987179|15.787445|4.000000|104|away|dallas_mavericks|10.727273|23.058914|4.000000|123|home
400488930|san_antonio_spurs|80.615385|101.302825|68.000000|102|away|denver_nuggets|29.641026|35.156053|2.000000|94|home
400488931|houston_rockets|21.294872|19.613646|18.000000|116|away|portland_trail_blazers|15.846154|23.607407|5.000000|101|home
400488932|atlanta_hawks|11.269231|26.904710|1.000000|105|away|sacramento_kings|19.782051|21.653239|5.000000|100|home
400488933|toronto_raptors|15.884615|19.270664|6.000000|90|away|charlotte_bobcats|11.525641|11.161661|5.000000|92|home
