matchid|season|datetime|year
21956|2001-2002|2001-12-02 00:00:00|2001
21958|2001-2002|2001-12-02 00:00:00|2001
21970|2001-2002|2001-12-03 00:00:00|2001
21986|2001-2002|2001-12-09 00:00:00|2001
21987|2001-2002|2001-12-08 00:00:00|2001
21988|2001-2002|2001-12-08 00:00:00|2001
21989|2001-2002|2001-12-08 00:00:00|2001
21990|2001-2002|2001-12-09 00:00:00|2001
21991|2001-2002|2001-12-08 00:00:00|2001
21992|2001-2002|2001-12-08 00:00:00|2001
21993|2001-2002|2001-12-08 00:00:00|2001
22048|2001-2002|2001-12-09 00:00:00|2001
22050|2001-2002|2001-12-09 00:00:00|2001
22051|2001-2002|2001-12-12 00:00:00|2001
22069|2001-2002|2001-12-15 00:00:00|2001
22070|2001-2002|2001-12-15 00:00:00|2001
22071|2001-2002|2001-12-15 00:00:00|2001
22072|2001-2002|2001-12-15 00:00:00|2001
22073|2001-2002|2001-12-15 00:00:00|2001
22074|2001-2002|2001-12-15 00:00:00|2001
22075|2001-2002|2001-12-15 00:00:00|2001
22162|2001-2002|2001-12-16 00:00:00|2001
22165|2001-2002|2001-12-16 00:00:00|2001
22166|2001-2002|2001-12-17 00:00:00|2001
22176|2001-2002|2001-12-18 00:00:00|2001
22190|2001-2002|2001-12-19 00:00:00|2001
22205|2001-2002|2001-12-22 00:00:00|2001
22206|2001-2002|2001-12-22 00:00:00|2001
22207|2001-2002|2001-12-22 00:00:00|2001
22208|2001-2002|2001-12-22 00:00:00|2001
22209|2001-2002|2001-12-22 00:00:00|2001
22210|2001-2002|2001-12-22 00:00:00|2001
22211|2001-2002|2001-12-22 00:00:00|2001
22212|2001-2002|2001-12-22 00:00:00|2001
22276|2001-2002|2001-12-23 00:00:00|2001
22277|2001-2002|2001-12-23 00:00:00|2001
22279|2001-2002|2001-12-26 00:00:00|2001
22282|2001-2002|2001-12-26 00:00:00|2001
22283|2001-2002|2001-12-26 00:00:00|2001
22284|2001-2002|2001-12-26 00:00:00|2001
22285|2001-2002|2001-12-26 00:00:00|2001
22286|2001-2002|2001-12-26 00:00:00|2001
22287|2001-2002|2001-12-26 00:00:00|2001
22288|2001-2002|2001-12-26 00:00:00|2001
22289|2001-2002|2001-12-26 00:00:00|2001
22290|2001-2002|2001-12-26 00:00:00|2001
22357|2001-2002|2001-12-29 00:00:00|2001
22358|2001-2002|2001-12-29 00:00:00|2001
22359|2001-2002|2001-12-29 00:00:00|2001
22360|2001-2002|2001-12-29 00:00:00|2001
22361|2001-2002|2001-12-29 00:00:00|2001
22363|2001-2002|2001-12-29 00:00:00|2001
22364|2001-2002|2001-12-29 00:00:00|2001
22365|2001-2002|2001-12-29 00:00:00|2001
22433|2001-2002|2001-12-30 00:00:00|2001
22435|2001-2002|2002-01-01 00:00:00|2002
22436|2001-2002|2002-01-01 00:00:00|2002
22437|2001-2002|2002-01-01 00:00:00|2002
22438|2001-2002|2002-01-01 00:00:00|2002
22439|2001-2002|2002-01-01 00:00:00|2002
22440|2001-2002|2002-01-01 00:00:00|2002
22487|2001-2002|2002-01-01 00:00:00|2002
22488|2001-2002|2002-01-01 00:00:00|2002
22510|2001-2002|2002-01-02 00:00:00|2002
22511|2001-2002|2002-01-02 00:00:00|2002
22575|2001-2002|2002-01-09 00:00:00|2002
22576|2001-2002|2002-01-12 00:00:00|2002
22577|2001-2002|2002-01-12 00:00:00|2002
22578|2001-2002|2002-01-12 00:00:00|2002
22579|2001-2002|2002-01-12 00:00:00|2002
22580|2001-2002|2002-01-12 00:00:00|2002
22581|2001-2002|2002-01-12 00:00:00|2002
22582|2001-2002|2002-01-12 00:00:00|2002
22583|2001-2002|2002-01-12 00:00:00|2002
22668|2001-2002|2002-01-13 00:00:00|2002
22670|2001-2002|2002-01-13 00:00:00|2002
22672|2001-2002|2002-01-19 00:00:00|2002
22673|2001-2002|2002-01-20 00:00:00|2002
22674|2001-2002|2002-01-19 00:00:00|2002
22675|2001-2002|2002-01-19 00:00:00|2002
22676|2001-2002|2002-01-19 00:00:00|2002
22677|2001-2002|2002-01-19 00:00:00|2002
22678|2001-2002|2002-01-19 00:00:00|2002
22679|2001-2002|2002-01-19 00:00:00|2002
22680|2001-2002|2002-01-19 00:00:00|2002
22681|2001-2002|2002-01-19 00:00:00|2002
22889|2001-2002|2002-01-29 00:00:00|2002
22890|2001-2002|2002-01-29 00:00:00|2002
22891|2001-2002|2002-01-29 00:00:00|2002
22892|2001-2002|2002-01-29 00:00:00|2002
22913|2001-2002|2002-01-30 00:00:00|2002
22914|2001-2002|2002-01-30 00:00:00|2002
22917|2001-2002|2002-01-30 00:00:00|2002
22918|2001-2002|2002-01-30 00:00:00|2002
22921|2001-2002|2002-01-30 00:00:00|2002
22922|2001-2002|2002-01-30 00:00:00|2002
22942|2001-2002|2002-02-02 00:00:00|2002
22943|2001-2002|2002-02-02 00:00:00|2002
22944|2001-2002|2002-02-02 00:00:00|2002
22945|2001-2002|2002-02-02 00:00:00|2002
22946|2001-2002|2002-02-03 00:00:00|2002
22947|2001-2002|2002-02-02 00:00:00|2002
22948|2001-2002|2002-02-02 00:00:00|2002
22949|2001-2002|2002-02-02 00:00:00|2002
22950|2001-2002|2002-02-02 00:00:00|2002
22951|2001-2002|2002-02-02 00:00:00|2002
23095|2001-2002|2002-02-09 00:00:00|2002
23096|2001-2002|2002-02-09 00:00:00|2002
23097|2001-2002|2002-02-10 00:00:00|2002
23098|2001-2002|2002-02-09 00:00:00|2002
23099|2001-2002|2002-02-09 00:00:00|2002
23100|2001-2002|2002-02-09 00:00:00|2002
23101|2001-2002|2002-02-09 00:00:00|2002
23102|2001-2002|2002-02-09 00:00:00|2002
23103|2001-2002|2002-02-09 00:00:00|2002
23104|2001-2002|2002-02-09 00:00:00|2002
23325|2001-2002|2002-02-23 00:00:00|2002
23326|2001-2002|2002-02-23 00:00:00|2002
23327|2001-2002|2002-02-23 00:00:00|2002
23328|2001-2002|2002-02-23 00:00:00|2002
23329|2001-2002|2002-02-23 00:00:00|2002
23331|2001-2002|2002-02-23 00:00:00|2002
23332|2001-2002|2002-02-23 00:00:00|2002
23333|2001-2002|2002-02-23 00:00:00|2002
23334|2001-2002|2002-02-23 00:00:00|2002
23471|2001-2002|2002-03-02 00:00:00|2002
23472|2001-2002|2002-03-02 00:00:00|2002
23473|2001-2002|2002-03-02 00:00:00|2002
23474|2001-2002|2002-03-02 00:00:00|2002
23475|2001-2002|2002-03-02 00:00:00|2002
23476|2001-2002|2002-03-02 00:00:00|2002
23477|2001-2002|2002-03-02 00:00:00|2002
23478|2001-2002|2002-03-02 00:00:00|2002
23479|2001-2002|2002-03-02 00:00:00|2002
23480|2001-2002|2002-03-02 00:00:00|2002
23571|2001-2002|2002-03-05 00:00:00|2002
23572|2001-2002|2002-03-05 00:00:00|2002
23573|2001-2002|2002-03-05 00:00:00|2002
23616|2001-2002|2002-03-05 00:00:00|2002
23617|2001-2002|2002-03-06 00:00:00|2002
23618|2001-2002|2002-03-06 00:00:00|2002
23619|2001-2002|2002-03-06 00:00:00|2002
23620|2001-2002|2002-03-06 00:00:00|2002
23621|2001-2002|2002-03-06 00:00:00|2002
23622|2001-2002|2002-03-06 00:00:00|2002
23745|2001-2002|2002-03-16 00:00:00|2002
23746|2001-2002|2002-03-16 00:00:00|2002
23747|2001-2002|2002-03-16 00:00:00|2002
23748|2001-2002|2002-03-16 00:00:00|2002
23749|2001-2002|2002-03-16 00:00:00|2002
23750|2001-2002|2002-03-16 00:00:00|2002
23751|2001-2002|2002-03-16 00:00:00|2002
23752|2001-2002|2002-03-16 00:00:00|2002
23753|2001-2002|2002-03-16 00:00:00|2002
23754|2001-2002|2002-03-16 00:00:00|2002
23872|2001-2002|2002-03-23 00:00:00|2002
23873|2001-2002|2002-03-23 00:00:00|2002
23874|2001-2002|2002-03-23 00:00:00|2002
23875|2001-2002|2002-03-23 00:00:00|2002
23876|2001-2002|2002-03-23 00:00:00|2002
23877|2001-2002|2002-03-23 00:00:00|2002
23878|2001-2002|2002-03-23 00:00:00|2002
23879|2001-2002|2002-03-23 00:00:00|2002
23880|2001-2002|2002-03-23 00:00:00|2002
23881|2001-2002|2002-03-23 00:00:00|2002
23998|2001-2002|2002-03-30 00:00:00|2002
23999|2001-2002|2002-03-30 00:00:00|2002
24000|2001-2002|2002-03-30 00:00:00|2002
24001|2001-2002|2002-03-30 00:00:00|2002
24002|2001-2002|2002-03-30 00:00:00|2002
24003|2001-2002|2002-03-30 00:00:00|2002
24004|2001-2002|2002-03-29 00:00:00|2002
24005|2001-2002|2002-03-29 00:00:00|2002
24006|2001-2002|2002-03-30 00:00:00|2002
24007|2001-2002|2002-03-30 00:00:00|2002
24090|2001-2002|2002-04-01 00:00:00|2002
24091|2001-2002|2002-04-01 00:00:00|2002
24092|2001-2002|2002-04-01 00:00:00|2002
24093|2001-2002|2002-04-01 00:00:00|2002
24094|2001-2002|2002-04-01 00:00:00|2002
24095|2001-2002|2002-04-01 00:00:00|2002
24096|2001-2002|2002-04-02 00:00:00|2002
24097|2001-2002|2002-04-01 00:00:00|2002
24098|2001-2002|2002-04-01 00:00:00|2002
24143|2001-2002|2002-04-02 00:00:00|2002
24161|2001-2002|2002-04-06 00:00:00|2002
24162|2001-2002|2002-04-06 00:00:00|2002
24163|2001-2002|2002-04-06 00:00:00|2002
24164|2001-2002|2002-04-06 00:00:00|2002
24165|2001-2002|2002-04-06 00:00:00|2002
24166|2001-2002|2002-04-06 00:00:00|2002
24167|2001-2002|2002-04-06 00:00:00|2002
24168|2001-2002|2002-04-06 00:00:00|2002
24169|2001-2002|2002-04-06 00:00:00|2002
24251|2001-2002|2002-04-07 00:00:00|2002
24278|2001-2002|2002-04-13 00:00:00|2002
24279|2001-2002|2002-04-13 00:00:00|2002
24280|2001-2002|2002-04-13 00:00:00|2002
24281|2001-2002|2002-04-13 00:00:00|2002
24282|2001-2002|2002-04-13 00:00:00|2002
24283|2001-2002|2002-04-13 00:00:00|2002
24284|2001-2002|2002-04-13 00:00:00|2002
24285|2001-2002|2002-04-13 00:00:00|2002
24286|2001-2002|2002-04-13 00:00:00|2002
24287|2001-2002|2002-04-13 00:00:00|2002
24395|2001-2002|2002-04-20 00:00:00|2002
24396|2001-2002|2002-04-20 00:00:00|2002
24397|2001-2002|2002-04-20 00:00:00|2002
24398|2001-2002|2002-04-20 00:00:00|2002
24399|2001-2002|2002-04-20 00:00:00|2002
24400|2001-2002|2002-04-20 00:00:00|2002
